OrderID,Order Date,Product,Category,Region,Price,Quantity,CustomerAge,PaymentMethod,Rating,Revenue
ORD1140,2025-08-27,Bluetooth Speaker,Audio,South,50.37,3,44,Unknown,4.3,151.11
ORD1216,2025-04-12,Mechanical Keyboard,Accessories,West,54.15,3,39,Credit Card,3.6,162.45
ORD1489,2025-07-08,Usb-C Hub,Accessories,North,21.52,3,49,Debit Card,4.6,64.56
ORD1305,2025-05-22,Usb-C Hub,Accessories,North,23.51,5,22,COD,3.9,117.55
ORD1658,2025-01-16,Noise Cancelling Headphones,Audio,West,78.34,5,33,Upi,3.4,391.7
ORD1955,2025-03-13,Noise Cancelling Headphones,Audio,West,109.47,3,34,Credit Card,3.4,328.41
ORD1582,2025-04-26,Mechanical Keyboard,Accessories,South,43.37,1,35,Cash,2.4,43.37
ORD1899,2025-06-27,Power Bank,Electronics,East,29.08,6,36,Unknown,4.3,174.48
ORD1660,2025-05-09,Wireless Mouse,Accessories,West,12.78,1,35,Debit Card,5.0,12.78
ORD1408,2025-03-28,Bluetooth Speaker,Audio,North,45.92,3,35,Debit Card,3.1,137.76
ORD1099,2025-01-10,Desk Lamp,Office,South,16.8,2,43,Debit Card,5.0,33.6
ORD1785,2025-03-23,Laptop Stand,Office,South,22.56,3,25,Upi,4.0,67.68
ORD1153,2025-04-26,Noise Cancelling Headphones,Audio,South,103.33,2,45,Credit Card,5.0,206.66
ORD1046,2025-04-23,Power Bank,Electronics,North,35.23,3,34,Upi,3.9,105.69
ORD1004,2025-01-12,Webcam Hd,Electronics,South,35.64,2,28,Unknown,3.6,71.28
ORD1172,2025-05-02,Wireless Mouse,Accessories,East,18.79,5,29,Upi,4.8,93.95
ORD1965,2025-08-21,Noise Cancelling Headphones,Audio,South,77.71,4,25,Debit Card,4.4,310.84
ORD1926,2025-06-20,Phone Case,Accessories,West,10.49,4,43,Unknown,3.4,41.96
ORD1222,2025-07-16,Usb-C Hub,Accessories,South,21.31,4,45,Credit Card,2.9,85.24
ORD1997,2025-03-15,Usb-C Hub,Accessories,East,18.03,2,32,Unknown,4.8,36.06
ORD1259,2025-06-01,Bluetooth Speaker,Audio,North,44.72,2,40,Credit Card,3.7,89.44
ORD1558,2025-08-21,Laptop Stand,Office,East,26.84,3,34,Credit Card,4.6,80.52
ORD1232,2025-08-06,Mechanical Keyboard,Accessories,West,47.2,2,49,Debit Card,5.0,94.4
ORD1108,2025-02-07,Bluetooth Speaker,Audio,South,39.61,4,32,Cash,3.4,158.44
ORD1854,2025-04-16,Bluetooth Speaker,Audio,East,32.54,5,29,Unknown,4.3,162.7
ORD1980,2025-04-16,Phone Case,Accessories,North,9.84,4,30,Unknown,4.4,39.36
ORD1098,2025-05-24,Phone Case,Accessories,South,9.48,4,42,COD,5.0,37.92
ORD1765,2025-03-26,Laptop Stand,Office,East,24.41,4,40,Cash,2.6,97.64
ORD1833,2025-01-02,Laptop Stand,Office,South,24.18,8,37,Credit Card,5.0,193.44
ORD1220,2025-07-30,Noise Cancelling Headphones,Audio,East,92.01,3,30,Credit Card,3.8,276.03
ORD1357,2025-07-24,Usb-C Hub,Accessories,South,20.575,4,54,Credit Card,4.1,82.3
ORD1971,2025-04-07,Usb-C Hub,Accessories,West,21.41,3,41,Credit Card,2.4,64.23
ORD1024,2025-06-08,Noise Cancelling Headphones,Audio,South,75.66,4,38,Upi,3.4,302.64
ORD1992,2025-03-19,Laptop Stand,Office,West,16.6,5,34,Cash,4.4,83.0
ORD1681,2025-04-29,Power Bank,Electronics,South,29.81,8,16,Debit Card,3.6,238.48
ORD1384,2025-03-06,Power Bank,Electronics,West,33.12,5,30,Upi,4.2,165.6
ORD1094,2025-08-21,Noise Cancelling Headphones,Audio,East,80.87,4,16,Debit Card,3.9,323.48
ORD1770,2025-04-25,Phone Case,Accessories,West,9.71,4,32,Credit Card,2.8,38.84
ORD1451,2025-08-23,Phone Case,Accessories,East,11.49,3,36,Cash,4.8,34.47
ORD1025,2025-04-28,Desk Lamp,Office,South,17.13,7,30,Credit Card,3.9,119.91
ORD1113,2025-08-05,Usb-C Hub,Accessories,South,17.82,2,34,Credit Card,4.0,35.64
ORD1125,2025-03-24,Noise Cancelling Headphones,Audio,East,85.48,4,38,Cash,4.1,341.92
ORD1060,2025-06-29,Mechanical Keyboard,Accessories,West,71.44,6,41,Credit Card,4.2,428.64
ORD1433,2025-07-15,Wireless Mouse,Accessories,East,18.42,6,35,Credit Card,4.6,110.52
ORD1589,2025-03-23,Laptop Stand,Office,South,25.35,4,47,Debit Card,5.0,101.4
ORD1244,2025-05-05,Laptop Stand,Office,East,29.37,3,28,Credit Card,3.6,88.11
ORD1680,2025-02-18,Bluetooth Speaker,Audio,East,43.36,3,34,COD,4.2,130.08
ORD1075,2025-03-15,Laptop Stand,Office,North,22.03,2,32,Cash,3.2,44.06
ORD1898,2025-04-07,Laptop Stand,Office,West,28.66,2,47,Cash,3.2,57.32
ORD1426,2025-05-05,Power Bank,Electronics,North,35.8,1,43,Cash,4.7,35.8
ORD1715,2025-06-30,Mechanical Keyboard,Accessories,South,64.01,5,27,Unknown,4.3,320.05
ORD1417,2025-03-15,Wireless Mouse,Accessories,South,9.76,4,44,Credit Card,3.9,39.04
ORD1909,2025-02-01,Phone Case,Accessories,South,10.81,2,37,Unknown,5.0,21.62
ORD1389,2025-05-19,Wireless Mouse,Accessories,South,13.81,4,20,Cash,4.2,55.24
ORD1053,2025-01-06,Wireless Mouse,Accessories,West,13.62,6,46,COD,3.0,81.72
ORD1843,2025-07-12,Bluetooth Speaker,Audio,East,50.7,2,37,Cash,4.5,101.4
ORD1350,2025-08-16,Laptop Stand,Office,North,28.68,4,34,COD,5.0,114.72
ORD1205,2025-04-17,Phone Case,Accessories,West,8.93,2,26,Upi,4.1,17.86
ORD1471,2025-03-31,Bluetooth Speaker,Audio,North,40.49,4,27,Unknown,4.5,161.96
ORD1531,2025-04-27,Noise Cancelling Headphones,Audio,West,102.66,3,35,Cash,3.4,307.98
ORD1643,2025-01-15,Phone Case,Accessories,South,12.43,3,19,Upi,4.0,37.29
ORD1403,2025-07-22,Desk Lamp,Office,South,16.33,5,37,Cash,4.7,81.65
ORD1906,2025-06-24,Desk Lamp,Office,South,18.37,5,41,Debit Card,4.5,91.85
ORD1492,2025-03-24,Usb-C Hub,Accessories,East,21.67,4,20,COD,4.0,86.68
ORD1375,2025-05-05,Webcam Hd,Electronics,West,28.97,5,42,Upi,4.6,144.85
ORD1912,2025-08-12,Desk Lamp,Office,West,21.3,4,32,Cash,3.7,85.2
ORD1510,2025-01-10,Mechanical Keyboard,Accessories,West,58.75,2,41,Credit Card,4.2,117.5
ORD1097,2025-04-05,Wireless Mouse,Accessories,East,13.16,2,49,Unknown,4.5,26.32
ORD1285,2025-07-25,Power Bank,Electronics,North,37.7,3,41,Unknown,3.5,113.1
ORD1782,2025-03-24,Bluetooth Speaker,Audio,South,43.65,4,23,Credit Card,5.0,174.6
ORD1739,2025-05-24,Desk Lamp,Office,East,17.21,4,33,Credit Card,4.5,68.84
ORD1498,2025-08-24,Noise Cancelling Headphones,Audio,East,105.65,4,30,Debit Card,3.8,422.6
ORD1780,2025-01-04,Usb-C Hub,Accessories,South,21.18,3,27,Debit Card,3.5,63.54
ORD1017,2025-08-28,Phone Case,Accessories,West,10.52,2,38,Unknown,4.0,21.04
ORD1196,2025-08-28,Wireless Mouse,Accessories,East,15.24,3,20,Unknown,5.0,45.72
ORD1026,2025-02-03,Bluetooth Speaker,Audio,West,35.28,7,45,Upi,4.4,246.96
ORD1728,2025-07-16,Noise Cancelling Headphones,Audio,South,91.96,2,29,Cash,5.0,183.92
ORD1186,2025-05-20,Webcam Hd,Electronics,East,29.35,4,40,Unknown,5.0,117.4
ORD1743,2025-07-18,Webcam Hd,Electronics,South,32.11,6,41,Upi,3.5,192.66
ORD1344,2025-01-23,Phone Case,Accessories,West,9.41,4,38,Debit Card,2.7,37.64
ORD1702,2025-04-06,Power Bank,Electronics,South,23.89,3,23,Credit Card,2.9,71.67
ORD1189,2025-07-12,Usb-C Hub,Accessories,North,20.575,3,25,Upi,5.0,61.72
ORD1742,2025-03-04,Phone Case,Accessories,East,12.02,5,34,Upi,4.1,60.1
ORD1970,2025-06-18,Laptop Stand,Office,North,21.65,5,30,Debit Card,4.2,108.25
ORD1270,2025-06-29,Laptop Stand,Office,South,26.12,3,41,Credit Card,4.1,78.36
ORD1326,2025-01-27,Power Bank,Electronics,South,32.32,5,41,Credit Card,4.4,161.6
ORD1806,2025-07-14,Noise Cancelling Headphones,Audio,North,95.14,3,29,COD,4.3,285.42
ORD1812,2025-02-19,Bluetooth Speaker,Audio,North,47.63,2,34,Debit Card,2.8,95.26
ORD1778,2025-07-02,Laptop Stand,Office,West,26.95,5,38,Cash,5.0,134.75
ORD1795,2025-05-04,Phone Case,Accessories,West,9.77,6,36,Debit Card,4.5,58.62
ORD1351,2025-06-21,Noise Cancelling Headphones,Audio,South,71.76,3,35,Cash,4.3,215.28
ORD1385,2025-03-23,Mechanical Keyboard,Accessories,North,54.24,3,18,COD,5.0,162.72
ORD1752,2025-06-03,Power Bank,Electronics,North,27.45,2,42,Unknown,4.3,54.9
ORD1791,2025-08-01,Laptop Stand,Office,South,20.02,2,40,Cash,3.9,40.04
ORD1731,2025-06-18,Power Bank,Electronics,East,36.29,5,42,Credit Card,4.5,181.45
ORD1262,2025-02-25,Desk Lamp,Office,South,16.79,4,54,Credit Card,5.0,67.16
ORD1840,2025-03-11,Wireless Mouse,Accessories,East,14.7,5,39,Credit Card,3.8,73.5
ORD1074,2025-06-12,Mechanical Keyboard,Accessories,West,55.38,4,23,Upi,3.6,221.52
ORD1168,2025-03-03,Bluetooth Speaker,Audio,North,43.66,4,47,Upi,3.2,174.64
ORD1649,2025-07-08,Desk Lamp,Office,North,19.16,3,37,COD,5.0,57.48
ORD1562,2025-06-06,Laptop Stand,Office,West,28.15,3,36,Credit Card,4.0,84.45
ORD1659,2025-01-02,Noise Cancelling Headphones,Audio,North,88.29,3,34,Cash,2.8,264.87
ORD1729,2025-07-01,Wireless Mouse,Accessories,North,15.67,1,34,Unknown,3.6,15.67
ORD1553,2025-04-02,Phone Case,Accessories,North,10.2,3,16,COD,5.0,30.6
ORD1306,2025-01-14,Noise Cancelling Headphones,Audio,North,85.84,2,41,Unknown,5.0,171.68
ORD1925,2025-06-16,Bluetooth Speaker,Audio,South,37.01,5,51,Cash,4.0,185.05
ORD1961,2025-01-26,Webcam Hd,Electronics,East,44.8,4,16,Debit Card,4.5,179.2
ORD1757,2025-01-11,Phone Case,Accessories,East,11.55,3,34,Cash,3.8,34.65
ORD1896,2025-04-24,Mechanical Keyboard,Accessories,North,58.32,5,22,Credit Card,4.4,291.6
ORD1790,2025-06-11,Desk Lamp,Office,South,17.08,4,42,Debit Card,4.0,68.32
ORD1641,2025-08-01,Power Bank,Electronics,North,34.51,8,50,Cash,3.3,276.08
ORD1502,2025-05-25,Noise Cancelling Headphones,Audio,West,72.86,7,51,Cash,4.2,510.02
ORD1308,2025-04-08,Power Bank,Electronics,North,34.34,4,50,Cash,3.4,137.36
ORD1110,2025-03-22,Phone Case,Accessories,South,8.93,5,35,Debit Card,3.0,44.65
ORD1525,2025-06-12,Laptop Stand,Office,East,28.36,6,43,Cash,3.4,170.16
ORD1869,2025-04-25,Power Bank,Electronics,East,32.06,4,34,Credit Card,4.8,128.24
ORD1057,2025-06-12,Phone Case,Accessories,East,11.31,2,45,Cash,3.7,22.62
ORD1650,2025-03-22,Laptop Stand,Office,West,25.009999999999998,2,39,Credit Card,4.7,50.02
ORD1006,2025-06-13,Phone Case,Accessories,South,11.23,4,21,Unknown,4.8,44.92
ORD1966,2025-01-06,Wireless Mouse,Accessories,South,9.59,6,47,Debit Card,3.4,57.54
ORD1138,2025-05-13,Power Bank,Electronics,East,31.3,2,58,Upi,3.5,62.6
ORD1163,2025-05-28,Bluetooth Speaker,Audio,East,57.03,1,36,Credit Card,2.3,57.03
ORD1358,2025-02-18,Desk Lamp,Office,West,17.49,5,30,Cash,3.9,87.45
ORD1890,2025-07-23,Phone Case,Accessories,West,8.71,5,18,Cash,2.7,43.55
ORD1838,2025-03-07,Laptop Stand,Office,East,28.86,6,39,Credit Card,3.1,173.16
ORD1043,2025-08-15,Wireless Mouse,Accessories,East,17.32,3,31,Unknown,5.0,51.96
ORD1615,2025-02-04,Webcam Hd,Electronics,North,32.62,5,36,Credit Card,4.1,163.1
ORD1063,2025-07-15,Usb-C Hub,Accessories,West,22.93,3,16,Upi,3.6,68.79
ORD1591,2025-05-20,Webcam Hd,Electronics,North,33.81,3,34,Cash,5.0,101.43
ORD1586,2025-05-14,Wireless Mouse,Accessories,South,15.5,6,43,COD,3.4,93.0
ORD1038,2025-08-19,Webcam Hd,Electronics,East,38.6,1,17,Upi,3.3,38.6
ORD1399,2025-06-03,Phone Case,Accessories,East,9.65,2,26,Credit Card,3.5,19.3
ORD1786,2025-05-31,Power Bank,Electronics,North,21.49,1,34,Credit Card,4.5,21.49
ORD1888,2025-07-19,Wireless Mouse,Accessories,East,13.43,5,35,Cash,5.0,67.15
ORD1983,2025-06-26,Bluetooth Speaker,Audio,North,42.34,5,43,COD,3.0,211.7
ORD1204,2025-02-08,Power Bank,Electronics,West,22.7,2,39,Debit Card,3.1,45.4
ORD1420,2025-08-06,Noise Cancelling Headphones,Audio,West,91.96,5,26,Credit Card,4.4,459.8
ORD1960,2025-03-09,Phone Case,Accessories,South,7.42,4,21,Cash,2.8,29.68
ORD1862,2025-01-24,Laptop Stand,Office,North,21.38,3,28,COD,3.4,64.14
ORD1284,2025-01-13,Usb-C Hub,Accessories,East,22.4,4,17,Credit Card,5.0,89.6
ORD1452,2025-07-07,Wireless Mouse,Accessories,South,14.92,3,34,Unknown,4.4,44.76
ORD1644,2025-04-03,Mechanical Keyboard,Accessories,North,58.32,5,39,Credit Card,3.2,291.6
ORD1496,2025-02-25,Wireless Mouse,Accessories,East,12.42,5,30,Cash,4.2,62.1
ORD1418,2025-07-11,Usb-C Hub,Accessories,West,21.65,3,56,COD,3.3,64.95
ORD1472,2025-08-25,Phone Case,Accessories,South,5.88,6,29,Debit Card,4.2,35.28
ORD1185,2025-05-07,Wireless Mouse,Accessories,North,19.51,4,35,Credit Card,4.2,78.04
ORD1968,2025-01-25,Power Bank,Electronics,South,35.36,3,49,Cash,4.1,106.08
ORD1632,2025-02-27,Mechanical Keyboard,Accessories,South,70.65,4,50,Credit Card,5.0,282.6
ORD1856,2025-02-18,Desk Lamp,Office,East,17.97,3,30,COD,4.4,53.91
ORD1872,2025-06-28,Laptop Stand,Office,West,25.009999999999998,3,26,Credit Card,3.4,75.03
ORD1228,2025-03-05,Phone Case,Accessories,West,12.12,4,46,Cash,3.0,48.48
ORD1547,2025-01-29,Noise Cancelling Headphones,Audio,West,87.99,5,30,COD,4.0,439.95
ORD1857,2025-01-31,Phone Case,Accessories,East,9.24,3,28,Upi,4.4,27.72
ORD1367,2025-04-08,Mechanical Keyboard,Accessories,South,45.78,4,18,Credit Card,4.2,183.12
ORD1061,2025-05-06,Usb-C Hub,Accessories,North,22.95,3,34,Debit Card,4.5,68.85
ORD1626,2025-06-23,Phone Case,Accessories,South,10.05,5,16,Credit Card,4.2,50.25
ORD1596,2025-01-23,Mechanical Keyboard,Accessories,East,57.88,6,41,Unknown,3.7,347.28
ORD1507,2025-05-14,Desk Lamp,Office,South,12.95,3,48,Credit Card,3.7,38.85
ORD1544,2025-02-19,Usb-C Hub,Accessories,East,17.44,2,34,Upi,5.0,34.88
ORD1595,2025-04-03,Power Bank,Electronics,East,25.73,4,39,Upi,3.5,102.92
ORD1747,2025-07-28,Usb-C Hub,Accessories,West,15.72,3,23,Cash,5.0,47.16
ORD1454,2025-02-15,Bluetooth Speaker,Audio,West,41.68,2,31,Debit Card,4.0,83.36
ORD1253,2025-04-17,Laptop Stand,Office,South,29.6,3,24,Cash,3.3,88.8
ORD1274,2025-07-09,Wireless Mouse,Accessories,West,14.79,3,16,Cash,4.9,44.37
ORD1514,2025-05-17,Webcam Hd,Electronics,South,35.08,5,34,Upi,4.0,175.4
ORD1709,2025-05-05,Mechanical Keyboard,Accessories,East,56.97,1,16,Credit Card,3.3,56.97
ORD1435,2025-08-28,Phone Case,Accessories,East,10.93,6,24,Credit Card,5.0,65.58
ORD1570,2025-02-15,Laptop Stand,Office,West,24.66,3,33,COD,4.4,73.98
ORD1109,2025-01-30,Noise Cancelling Headphones,Audio,West,99.1,3,33,Cash,3.6,297.3
ORD1677,2025-07-26,Phone Case,Accessories,East,8.83,5,32,Debit Card,3.8,44.15
ORD1360,2025-08-28,Phone Case,Accessories,East,9.77,4,37,COD,4.2,39.08
ORD1336,2025-04-06,Wireless Mouse,Accessories,West,13.15,1,45,Credit Card,3.5,13.15
ORD1610,2025-01-11,Wireless Mouse,Accessories,North,12.3,4,34,Cash,4.8,49.2
ORD1700,2025-05-18,Usb-C Hub,Accessories,East,18.86,7,39,Credit Card,4.4,132.02
ORD1319,2025-07-09,Phone Case,Accessories,South,10.42,5,37,Unknown,4.2,52.1
ORD1613,2025-03-14,Wireless Mouse,Accessories,North,15.38,3,21,COD,2.8,46.14
ORD1396,2025-03-26,Bluetooth Speaker,Audio,West,42.79,5,17,Cash,4.1,213.95
ORD1148,2025-04-02,Wireless Mouse,Accessories,South,16.21,4,34,Upi,4.3,64.84
ORD1793,2025-04-23,Webcam Hd,Electronics,East,42.82,2,25,Unknown,2.8,85.64
ORD1684,2025-08-11,Noise Cancelling Headphones,Audio,North,84.16,2,41,Cash,5.0,168.32
ORD1540,2025-02-12,Usb-C Hub,Accessories,South,24.26,6,16,Credit Card,5.0,145.56
ORD1158,2025-01-17,Power Bank,Electronics,West,29.6,2,48,Credit Card,3.5,59.2
ORD1928,2025-08-03,Mechanical Keyboard,Accessories,West,58.32,5,39,Credit Card,3.6,291.6
ORD1482,2025-07-17,Laptop Stand,Office,East,28.74,5,29,Upi,4.0,143.7
ORD1569,2025-07-08,Bluetooth Speaker,Audio,West,35.98,2,29,Credit Card,3.9,71.96
ORD1493,2025-07-06,Webcam Hd,Electronics,East,41.96,4,18,Cash,1.6,167.84
ORD1023,2025-01-21,Power Bank,Electronics,South,33.93,1,18,COD,4.2,33.93
ORD1689,2025-02-10,Webcam Hd,Electronics,North,36.38,4,44,Unknown,4.1,145.52
ORD1128,2025-01-16,Noise Cancelling Headphones,Audio,South,91.96,4,17,COD,4.5,367.84
ORD1861,2025-08-07,Power Bank,Electronics,West,32.94,4,42,Credit Card,4.5,131.76
ORD1972,2025-03-12,Webcam Hd,Electronics,South,38.39,4,34,Unknown,4.7,153.56
ORD1324,2025-07-16,Desk Lamp,Office,East,20.57,2,45,COD,5.0,41.14
ORD1902,2025-01-13,Noise Cancelling Headphones,Audio,North,116.46,7,38,Upi,5.0,815.22
ORD1511,2025-08-12,Usb-C Hub,Accessories,East,23.95,1,32,Unknown,4.1,23.95
ORD1362,2025-08-15,Laptop Stand,Office,South,21.39,4,42,COD,4.1,85.56
ORD1952,2025-04-05,Bluetooth Speaker,Audio,North,57.49,3,31,COD,5.0,172.47
ORD1467,2025-01-14,Wireless Mouse,Accessories,East,15.44,4,34,Upi,3.8,61.76
ORD1714,2025-05-26,Noise Cancelling Headphones,Audio,North,95.46,5,41,Credit Card,5.0,477.3
ORD1846,2025-03-20,Mechanical Keyboard,Accessories,South,61.72,3,45,COD,4.2,185.16
ORD1758,2025-04-24,Webcam Hd,Electronics,South,41.02,1,16,Credit Card,5.0,41.02
ORD1830,2025-05-27,Power Bank,Electronics,South,20.66,5,33,Unknown,3.8,103.3
ORD1679,2025-07-28,Noise Cancelling Headphones,Audio,East,91.96,4,26,Unknown,5.0,367.84
ORD1419,2025-08-03,Usb-C Hub,Accessories,South,18.78,5,16,Credit Card,4.3,93.9
ORD1526,2025-03-18,Usb-C Hub,Accessories,North,22.19,4,23,Cash,5.0,88.76
ORD1609,2025-06-26,Usb-C Hub,Accessories,East,18.31,5,38,Credit Card,5.0,91.55
ORD1249,2025-07-18,Bluetooth Speaker,Audio,South,52.35,4,35,Unknown,2.5,209.4
ORD1379,2025-07-13,Wireless Mouse,Accessories,South,15.35,10,34,Upi,4.6,153.5
ORD1015,2025-04-06,Mechanical Keyboard,Accessories,South,68.72,4,30,Debit Card,2.8,274.88
ORD1159,2025-04-26,Laptop Stand,Office,East,31.75,3,18,Unknown,4.6,95.25
ORD1048,2025-08-14,Noise Cancelling Headphones,Audio,North,95.93,3,32,Upi,4.4,287.79
ORD1989,2025-01-31,Desk Lamp,Office,North,16.88,3,34,Credit Card,3.3,50.64
ORD1699,2025-02-22,Laptop Stand,Office,West,28.88,3,16,COD,3.3,86.64
ORD1411,2025-06-03,Power Bank,Electronics,East,29.13,4,43,COD,4.1,116.52
ORD1377,2025-07-11,Desk Lamp,Office,South,19.03,5,34,Credit Card,2.7,95.15
ORD1294,2025-05-25,Webcam Hd,Electronics,West,36.68,5,47,Credit Card,3.3,183.4
ORD1567,2025-06-07,Mechanical Keyboard,Accessories,North,37.51,4,26,Credit Card,4.1,150.04
ORD1127,2025-04-29,Bluetooth Speaker,Audio,North,49.19,6,42,Cash,4.5,295.14
ORD1297,2025-02-10,Bluetooth Speaker,Audio,West,45.99,2,50,COD,4.9,91.98
ORD1996,2025-08-25,Webcam Hd,Electronics,West,43.13,3,37,Cash,2.9,129.39
ORD1237,2025-02-06,Bluetooth Speaker,Audio,West,49.96,4,37,Credit Card,3.5,199.84
ORD1167,2025-07-04,Laptop Stand,Office,West,26.34,6,35,Credit Card,5.0,158.04
ORD1892,2025-02-04,Wireless Mouse,Accessories,South,13.4,5,40,Upi,3.2,67.0
ORD1446,2025-08-10,Mechanical Keyboard,Accessories,West,48.19,4,42,COD,3.7,192.76
ORD1080,2025-07-22,Laptop Stand,Office,North,25.11,3,43,Unknown,4.0,75.33
ORD1875,2025-08-15,Webcam Hd,Electronics,East,36.1,4,38,Credit Card,2.5,144.4
ORD1941,2025-08-25,Phone Case,Accessories,North,12.58,2,29,Cash,3.0,25.16
ORD1937,2025-08-21,Desk Lamp,Office,North,17.15,5,33,Credit Card,3.9,85.75
ORD1030,2025-08-15,Desk Lamp,Office,North,20.37,6,31,Unknown,3.2,122.22
ORD1242,2025-05-31,Webcam Hd,Electronics,West,34.37,2,38,Credit Card,4.8,68.74
ORD1671,2025-04-02,Mechanical Keyboard,Accessories,West,41.93,3,31,Cash,3.8,125.79
ORD1740,2025-04-20,Noise Cancelling Headphones,Audio,South,91.96,3,37,COD,3.9,275.88
ORD1571,2025-02-04,Wireless Mouse,Accessories,East,15.29,3,45,Debit Card,5.0,45.87
ORD1775,2025-06-22,Phone Case,Accessories,East,13.17,2,34,Unknown,5.0,26.34
ORD1578,2025-05-16,Bluetooth Speaker,Audio,North,41.07,4,22,COD,5.0,164.28
ORD1705,2025-01-16,Desk Lamp,Office,West,21.25,2,28,Cash,4.0,42.5
