OrderID,Order Date,Product,Category,Region,Price,Quantity,CustomerAge,PaymentMethod,Rating
ORD1395,23/04/2025,Phone Case,Accessories, North,10.51,500.0,34.0,Debit Card,3.9
ORD1368,2025-06-30,Phone Case,Accessories,West,10.32,5.0,32.0,,5.0
ORD1361,2025-03-24,Desk Lamp,Office,West,18.11,8.0,33.0,UPI,3.0
ORD1328,2025-01-15,Laptop Stand,Office,EAST,,2.0,32.0,COD,2.4
ORD1170,2025-01-19,Power Bank,Electronics, North,27.74,1.0,36.0,,3.9
,,,,,,,,,
ORD1256,15/07/2025,Phone Case,Accessories,West ,11.11,1.0,31.0,Credit Card,4.3
ORD1999,2025-08-22,Webcam HD,Electronics,West,36.29,2.0,41.0,,4.0
ORD1179,2025-03-18,Mechanical Keyboard,Accessories,West ,56.86,1.0,42.0,UPI,5.0
ORD1918,20/07/2025,Desk Lamp,Office,south,21.15,4.0,26.0,COD,5.0
ORD1585,2025-05-19,WIRELESS MOUSE,Accessories,EAST,9.35,3.0,36.0,Cash,5.0
ORD1164,2025-03-04,Mechanical Keyboard,Accessories, North,57.78,1.0,27.0,Cash,
ORD1849,2025-03-04,Desk Lamp,Office,North,12.4,2.0,41.0,credit card,5.0
ORD1956,2025-06-15,Power Bank,Electronics,South,,2.0,16.0,Credit Card,5.0
ORD1325,2025-07-01,Noise Cancelling Headphones,Audio,EAST,82.82,4.0,28.0,,4.9
ORD1466,2025-08-14,Wireless Mouse,Accessories,South,17.74,2.0,28.0,,5.0
ORD1372,2025-02-26,Power Bank,Electronics,south,35.7,6.0,30.0,UPI,4.2
ORD1601,08/01/2025,Phone Case,Accessories,South,11.31,4.0,34.0,credit card,4.0
ORD1484,03/02/2025,Mechanical Keyboard,Accessories, North,64.2,4.0,49.0,credit card,3.2
ORD1013,2025-05-26,Mechanical Keyboard,Accessories,West ,69.38,4.0,26.0,,
ORD1748,06/02/2025,Bluetooth Speaker,Audio,south,38.95,1.0,36.0,Credit Card,3.9
ORD1316,2025-02-06,Phone Case,Accessories,EAST,8.39,6.0,36.0,Credit Card,5.0
ORD1455,07/03/2025,Phone Case,Accessories,South,10.72,4.0,29.0,Credit Card,3.8
ORD1140,27/08/2025,Bluetooth Speaker,Audio,south,50.37,3.0,44.0,,4.3
ORD1216,12/04/2025,Mechanical Keyboard,Accessories,West ,54.15,3.0,39.0,credit card,3.6
ORD1489,08/07/2025,USB-C Hub,Accessories,North,21.52,3.0,49.0,Debit Card,4.6
ORD1305,2025-05-22,USB-C Hub,Accessories, North,23.51,5.0,22.0,COD,3.9
ORD1658,16/01/2025,Noise Cancelling Headphones,Audio,West ,78.34,5.0,33.0,UPI,3.4
ORD1955,2025-03-13,Noise Cancelling Headphones,Audio,West,109.47,3.0,34.0,Credit Card,3.4
ORD1582,2025-04-26,Mechanical Keyboard,Accessories,South,43.37,1.0,35.0,Cash,2.4
ORD1899,2025-06-27,Power Bank,Electronics,EAST,29.08,6.0,36.0,,4.3
ORD1660,2025-05-09,Wireless Mouse,Accessories,West ,12.78,1.0,35.0,Debit Card,5.0
ORD1408,2025-03-28,Bluetooth Speaker,Audio,North,45.92,3.0,35.0,Debit Card,3.1
ORD1099,2025-01-10,Desk Lamp,Office,South,16.8,2.0,43.0,Debit Card,5.0
ORD1785,2025-03-23,Laptop Stand,Office,South,22.56,3.0,25.0,UPI,
ORD1153,2025-04-26,Noise Cancelling Headphones,Audio,South,103.33,2.0,45.0,credit card,5.0
ORD1046,23/04/2025,Power Bank,Electronics, North,35.23,3.0,34.0,UPI,3.9
ORD1004,2025-01-12,Webcam HD,Electronics,South,35.64,2.0,28.0,,3.6
ORD1172,2025-05-02,Wireless Mouse,Accessories,East,18.79,5.0,29.0,UPI,4.8
ORD1965,2025-08-21,Noise Cancelling Headphones,Audio,South,77.71,4.0,25.0,Debit Card,4.4
ORD1926,20/06/2025,Phone Case,Accessories,West,10.49,4.0,43.0,,3.4
ORD1222,2025-07-16,USB-C Hub,Accessories,south,21.31,4.0,45.0,Credit Card,2.9
ORD1997,15/03/2025,USB-C Hub,Accessories,EAST,18.03,2.0,32.0,,4.8
ORD1259,01/06/2025,Bluetooth Speaker,Audio,North,-42.87,2.0,40.0,Credit Card,3.7
ORD1558,2025-08-21,Laptop Stand,Office,East,26.84,3.0,,Credit Card,4.6
ORD1232,2025-08-06,Mechanical Keyboard,Accessories,West ,47.2,2.0,49.0,Debit Card,5.0
ORD1108,07/02/2025,Bluetooth Speaker,Audio,south,39.61,4.0,32.0,Cash,3.4
ORD1854,16/04/2025,Bluetooth Speaker,Audio,East,32.54,5.0,29.0,,4.3
ORD1980,2025-04-16,Phone Case,Accessories,North,9.84,4.0,30.0,,4.4
ORD1098,2025-05-24,Phone Case,Accessories,South,9.48,4.0,42.0,COD,5.0
ORD1600,2025-03-18,USB-C Hub,Accessories,West ,19.61,-5.0,37.0,Credit Card,5.0
ORD1765,2025-03-26,Laptop Stand,Office,EAST,24.41,4.0,40.0,Cash,2.6
ORD1833,2025-01-02,Laptop Stand,Office,South,24.18,8.0,37.0,Credit Card,5.0
ORD1220,2025-07-30,Noise Cancelling Headphones,Audio,East,92.01,3.0,30.0,credit card,3.8
ORD1357,24/07/2025,USB-C Hub,Accessories,South,-26.27,4.0,54.0,Credit Card,4.1
ORD1971,2025-04-07,USB-C Hub,Accessories,West ,21.41,3.0,41.0,credit card,2.4
ORD1024,08/06/2025,Noise Cancelling Headphones,Audio,south,75.66,4.0,38.0,UPI,3.4
ORD1992,2025-03-19,Laptop Stand,Office,West ,16.6,5.0,34.0,Cash,4.4
ORD1681,29/04/2025,Power Bank,Electronics,South,29.81,8.0,16.0,Debit Card,3.6
ORD1384,06/03/2025,Power Bank,Electronics,West ,33.12,5.0,30.0,UPI,4.2
ORD1094,21/08/2025,Noise Cancelling Headphones,Audio,East,80.87,4.0,16.0,Debit Card,3.9
ORD1770,25/04/2025,Phone Case,Accessories,West,9.71,500.0,32.0,credit card,2.8
ORD1451,2025-08-23,Phone Case,Accessories,East,11.49,3.0,36.0,Cash,4.8
ORD1025,2025-04-28,Desk Lamp,Office,South,17.13,7.0,30.0,Credit Card,3.9
ORD1113,05/08/2025,USB-C Hub,Accessories,south,17.82,2.0,34.0,Credit Card,4.0
ORD1125,2025-03-24,Noise Cancelling Headphones,Audio,East,85.48,4.0,38.0,Cash,
ORD1060,2025-06-29,Mechanical Keyboard,Accessories,West,71.44,6.0,41.0,Credit Card,4.2
ORD1433,2025-07-15,Wireless Mouse,Accessories,East,18.42,6.0,35.0,Credit Card,4.6
ORD1589,2025-03-23,Laptop Stand,Office,south,25.35,4.0,47.0,Debit Card,5.0
ORD1244,2025-05-05,Laptop Stand,Office,East,29.37,3.0,28.0,credit card,3.6
ORD1680,2025-02-18,Bluetooth Speaker,Audio,East,43.36,3.0,34.0,COD,4.2
ORD1075,2025-03-15,Laptop Stand,Office,North,22.03,2.0,32.0,Cash,3.2
ORD1898,2025-04-07,Laptop Stand,Office,West,28.66,2.0,47.0,Cash,3.2
ORD1426,2025-05-05,Power Bank,Electronics,North,35.8,1.0,43.0,Cash,4.7
ORD1715,2025-06-30,Mechanical Keyboard,Accessories,South,64.01,5.0,27.0,,4.3
ORD1417,15/03/2025,Wireless Mouse,Accessories,south,9.76,4.0,44.0,Credit Card,3.9
ORD1909,2025-02-01,Phone Case,Accessories,south,10.81,2.0,37.0,,5.0
ORD1389,2025-05-19,Wireless Mouse,Accessories,south,13.81,4.0,20.0,Cash,4.2
ORD1053,2025-01-06,Wireless Mouse,Accessories,West ,13.62,6.0,46.0,COD,3.0
ORD1843,2025-07-12,Bluetooth Speaker,Audio,EAST,50.7,2.0,37.0,Cash,4.5
ORD1350,2025-08-16,Laptop Stand,Office, North,28.68,4.0,,COD,5.0
ORD1205,2025-04-17,Phone Case,Accessories,West,8.93,2.0,26.0,UPI,4.1
ORD1471,31/03/2025,Bluetooth Speaker,Audio,North,40.49,4.0,27.0,,4.5
ORD1531,2025-04-27,Noise Cancelling Headphones,Audio,West ,102.66,3.0,35.0,Cash,3.4
ORD1643,2025-01-15,Phone Case,Accessories,South,12.43,3.0,19.0,UPI,4.0
ORD1403,2025-07-22,Desk Lamp,Office,South,16.33,5.0,37.0,Cash,4.7
ORD1906,2025-06-24,Desk Lamp,Office,South,18.37,5.0,41.0,Debit Card,4.5
ORD1492,2025-03-24,USB-C Hub,Accessories,East,21.67,4.0,20.0,COD,4.0
ORD1375,05/05/2025,Webcam HD,Electronics,West,28.97,5.0,42.0,UPI,4.6
ORD1912,2025-08-12,Desk Lamp,Office,West ,21.3,4.0,32.0,Cash,3.7
ORD1510,2025-01-10,Mechanical Keyboard,Accessories,West ,58.75,2.0,41.0,credit card,
ORD1097,2025-04-05,Wireless Mouse,Accessories,EAST,13.16,2.0,49.0,,4.5
ORD1285,2025-07-25,Power Bank,Electronics,North,37.7,3.0,41.0,,3.5
ORD1782,24/03/2025,Bluetooth Speaker,Audio,south,43.65,4.0,23.0,Credit Card,5.0
ORD1739,24/05/2025,Desk Lamp,Office,EAST,17.21,4.0,33.0,Credit Card,4.5
ORD1498,24/08/2025,Noise Cancelling Headphones,Audio,East,105.65,4.0,30.0,Debit Card,3.8
ORD1780,2025-01-04,USB-C Hub,Accessories,South,21.18,3.0,27.0,Debit Card,3.5
ORD1017,2025-08-28,Phone Case,Accessories,West,10.52,2.0,38.0,,4.0
ORD1196,2025-08-28,Wireless Mouse,Accessories,East,15.24,3.0,20.0,,5.0
ORD1026,2025-02-03,Bluetooth Speaker,Audio,West,35.28,7.0,45.0,UPI,4.4
ORD1728,2025-07-16,Noise Cancelling Headphones,Audio,South,,2.0,29.0,Cash,5.0
ORD1186,2025-05-20,Webcam HD,Electronics,East,29.35,4.0,40.0,,5.0
ORD1743,18/07/2025,WEBCAM HD,Electronics,south,32.11,6.0,41.0,UPI,3.5
ORD1344,2025-01-23,Phone Case,Accessories,West ,9.41,0.0,38.0,Debit Card,2.7
ORD1702,06/04/2025,Power Bank,Electronics,South,23.89,3.0,23.0,Credit Card,2.9
ORD1189,12/07/2025,USB-C Hub,Accessories,North,-20.05,3.0,25.0,UPI,5.0
ORD1742,04/03/2025,Phone Case,Accessories,East,12.02,5.0,,UPI,4.1
ORD1970,2025-06-18,Laptop Stand,Office,North,21.65,5.0,30.0,Debit Card,4.2
ORD1270,29/06/2025,Laptop Stand,Office,south,26.12,3.0,41.0,credit card,4.1
ORD1326,27/01/2025,Power Bank,Electronics,south,32.32,5.0,41.0,credit card,4.4
ORD1806,14/07/2025,Noise Cancelling Headphones,Audio,North,95.14,3.0,29.0,COD,4.3
ORD1812,2025-02-19,Bluetooth Speaker,Audio,North,47.63,2.0,34.0,Debit Card,2.8
ORD1778,02/07/2025,Laptop Stand,Office,West,26.95,5.0,38.0,Cash,5.0
ORD1795,04/05/2025,Phone Case,Accessories,West ,,6.0,36.0,Debit Card,4.5
ORD1351,2025-06-21,Noise Cancelling Headphones,Audio,South,71.76,3.0,35.0,Cash,4.3
ORD1385,2025-03-23,Mechanical Keyboard,Accessories, North,54.24,3.0,18.0,COD,5.0
ORD1752,2025-06-03,Power Bank,Electronics,North,27.45,2.0,42.0,,4.3
ORD1791,2025-08-01,Laptop Stand,Office,South,20.02,2.0,40.0,Cash,3.9
ORD1731,2025-06-18,Power Bank,Electronics,East,36.29,5.0,42.0,Credit Card,4.5
ORD1262,25/02/2025,Desk Lamp,Office,South,16.79,4.0,54.0,credit card,5.0
ORD1840,11/03/2025,Wireless Mouse,Accessories,EAST,14.7,5.0,39.0,Credit Card,3.8
ORD1074,2025-06-12,Mechanical Keyboard,Accessories,West ,55.38,4.0,23.0,UPI,3.6
ORD1168,03/03/2025,Bluetooth Speaker,Audio,North,43.66,4.0,47.0,UPI,3.2
ORD1649,2025-07-08,Desk Lamp,Office,North,19.16,3.0,37.0,COD,5.0
ORD1562,2025-06-06,Laptop Stand,Office,West ,28.15,3.0,36.0,Credit Card,
ORD1262,25/02/2025,Desk Lamp,Office,South,16.79,4.0,54.0,credit card,5.0
ORD1659,02/01/2025,Noise Cancelling Headphones,Audio, North,88.29,3.0,34.0,Cash,2.8
ORD1729,2025-07-01,Wireless Mouse,Accessories, North,15.67,1.0,34.0,,3.6
ORD1553,2025-04-02,Phone Case,Accessories,North,10.2,3.0,16.0,COD,5.0
ORD1306,2025-01-14,Noise Cancelling Headphones,Audio, North,85.84,2.0,41.0,,5.0
ORD1925,16/06/2025,Bluetooth Speaker,Audio,South,37.01,5.0,51.0,Cash,4.0
ORD1961,26/01/2025,Webcam HD,Electronics,EAST,44.8,4.0,16.0,Debit Card,4.5
ORD1757,2025-01-11,Phone Case,Accessories,EAST,11.55,3.0,34.0,Cash,3.8
ORD1896,2025-04-24,Mechanical Keyboard,Accessories, North,,5.0,22.0,Credit Card,4.4
ORD1790,11/06/2025,Desk Lamp,Office,South,17.08,4.0,42.0,Debit Card,
ORD1641,2025-08-01,Power Bank,Electronics, North,34.51,8.0,50.0,Cash,3.3
ORD1502,2025-05-25,Noise Cancelling Headphones,Audio,West ,72.86,7.0,51.0,Cash,4.2
ORD1308,2025-04-08,Power Bank,Electronics, North,34.34,4.0,50.0,Cash,3.4
ORD1110,2025-03-22,Phone Case,Accessories,south,8.93,5.0,35.0,Debit Card,3.0
ORD1525,2025-06-12,Laptop Stand,Office,East,28.36,6.0,43.0,Cash,3.4
ORD1869,2025-04-25,Power Bank,Electronics,EAST,32.06,4.0,34.0,Credit Card,4.8
ORD1057,2025-06-12,Phone Case,Accessories,East,11.31,2.0,45.0,Cash,3.7
ORD1650,2025-03-22,Laptop Stand,Office,West,309.3,2.0,39.0,credit card,4.7
ORD1006,2025-06-13,Phone Case,Accessories,south,11.23,4.0,21.0,,4.8
ORD1966,06/01/2025,Wireless Mouse,Accessories,South,9.59,6.0,47.0,Debit Card,3.4
ORD1138,2025-05-13,Power Bank,Electronics,East,31.3,2.0,58.0,UPI,3.5
ORD1163,28/05/2025,Bluetooth Speaker,Audio,EAST,57.03,1.0,36.0,credit card,2.3
ORD1358,18/02/2025,Desk Lamp,Office,West,17.49,5.0,30.0,Cash,3.9
ORD1890,2025-07-23,Phone Case,Accessories,West,8.71,5.0,18.0,Cash,2.7
ORD1838,2025-03-07,Laptop Stand,Office,East,28.86,6.0,39.0,credit card,3.1
ORD1043,15/08/2025,Wireless Mouse,Accessories,East,17.32,3.0,31.0,,5.0
ORD1615,2025-02-04,Webcam HD,Electronics, North,32.62,5.0,36.0,credit card,4.1
ORD1063,2025-07-15,USB-C Hub,Accessories,West ,22.93,3.0,16.0,UPI,3.6
ORD1591,2025-05-20,Webcam HD,Electronics, North,33.81,3.0,34.0,Cash,5.0
ORD1586,2025-05-14,Wireless Mouse,Accessories,south,15.5,6.0,43.0,COD,3.4
ORD1038,2025-08-19,Webcam HD,Electronics,EAST,38.6,1.0,17.0,UPI,3.3
ORD1399,03/06/2025,Phone Case,Accessories,East,9.65,2.0,26.0,credit card,3.5
ORD1786,2025-05-31,Power Bank,Electronics,North,21.49,1.0,,credit card,4.5
ORD1888,2025-07-19,Wireless Mouse,Accessories,EAST,13.43,5.0,35.0,Cash,5.0
ORD1983,2025-06-26,Bluetooth Speaker,Audio,North,42.34,5.0,43.0,COD,3.0
ORD1204,08/02/2025,Power Bank,Electronics,West ,22.7,2.0,39.0,Debit Card,3.1
ORD1420,2025-08-06,Noise Cancelling Headphones,Audio,West ,0.0,5.0,26.0,credit card,4.4
ORD1960,09/03/2025,Phone Case,Accessories,south,7.42,4.0,21.0,Cash,2.8
ORD1862,2025-01-24,Laptop Stand,Office, North,21.38,3.0,28.0,COD,3.4
ORD1284,2025-01-13,USB-C Hub,Accessories,East,22.4,4.0,17.0,Credit Card,5.0
ORD1452,07/07/2025,Wireless Mouse,Accessories,south,14.92,3.0,,,4.4
ORD1644,2025-04-03,Mechanical Keyboard,Accessories, North,,5.0,39.0,Credit Card,3.2
ORD1496,2025-02-25,Wireless Mouse,Accessories,EAST,12.42,5.0,30.0,Cash,
ORD1418,2025-07-11,USB-C Hub,Accessories,West ,21.65,3.0,56.0,COD,3.3
,,,,,,,,,
ORD1472,2025-08-25,Phone Case,Accessories,south,5.88,6.0,29.0,Debit Card,4.2
ORD1185,07/05/2025,Wireless Mouse,Accessories, North,19.51,4.0,35.0,Credit Card,
ORD1968,25/01/2025,Power Bank,Electronics,south,35.36,3.0,49.0,Cash,4.1
ORD1632,2025-02-27,Mechanical Keyboard,Accessories,South,70.65,4.0,50.0,credit card,5.0
ORD1856,18/02/2025,Desk Lamp,Office,EAST,0.0,3.0,30.0,COD,4.4
ORD1872,28/06/2025,Laptop Stand,Office,West ,0.0,3.0,26.0,credit card,3.4
ORD1228,2025-03-05,Phone Case,Accessories,West,12.12,4.0,46.0,Cash,3.0
ORD1547,2025-01-29,Noise Cancelling Headphones,Audio,West ,87.99,5.0,30.0,COD,4.0
ORD1857,2025-01-31,Phone Case,Accessories,East,9.24,3.0,28.0,UPI,4.4
ORD1367,2025-04-08,Mechanical Keyboard,Accessories,south,45.78,4.0,18.0,credit card,
ORD1061,2025-05-06,USB-C Hub,Accessories, North,22.95,3.0,,Debit Card,4.5
ORD1626,2025-06-23,Phone Case,Accessories,south,10.05,5.0,16.0,Credit Card,
ORD1596,23/01/2025,Mechanical Keyboard,Accessories,EAST,57.88,6.0,41.0,,3.7
ORD1507,14/05/2025,Desk Lamp,Office,south,12.95,3.0,48.0,credit card,3.7
ORD1544,2025-02-19,USB-C Hub,Accessories,East,17.44,2.0,34.0,UPI,5.0
ORD1595,2025-04-03,POWER BANK,Electronics,EAST,25.73,4.0,39.0,UPI,3.5
ORD1747,2025-07-28,USB-C Hub,Accessories,West,15.72,3.0,23.0,Cash,5.0
ORD1454,2025-02-15,Bluetooth Speaker,Audio,West ,41.68,2.0,31.0,Debit Card,4.0
ORD1253,2025-04-17,Laptop Stand,Office,South,29.6,3.0,24.0,Cash,3.3
ORD1274,2025-07-09,Wireless Mouse,Accessories,West,14.79,3.0,16.0,Cash,4.9
ORD1514,2025-05-17,Webcam HD,Electronics,South,,5.0,34.0,UPI,4.0
ORD1709,05/05/2025,Mechanical Keyboard,Accessories,EAST,56.97,1.0,16.0,Credit Card,3.3
ORD1435,28/08/2025,Phone Case,Accessories,East,10.93,6.0,24.0,credit card,5.0
ORD1570,2025-02-15,Laptop Stand,Office,West,24.66,3.0,33.0,COD,4.4
ORD1109,2025-01-30,Noise Cancelling Headphones,Audio,West,99.1,3.0,33.0,Cash,3.6
ORD1677,26/07/2025,Phone Case,Accessories,East,8.83,5.0,32.0,Debit Card,3.8
ORD1360,2025-08-28,Phone Case,Accessories,East,0.0,4.0,37.0,COD,4.2
ORD1336,2025-04-06,Wireless Mouse,Accessories,West,13.15,1.0,45.0,Credit Card,3.5
ORD1610,11/01/2025,Wireless Mouse,Accessories,North,12.3,4.0,,Cash,4.8
ORD1700,2025-05-18,USB-C Hub,Accessories,East,18.86,7.0,39.0,credit card,4.4
ORD1319,2025-07-09,Phone Case,Accessories,south,10.42,5.0,37.0,,
ORD1613,14/03/2025,Wireless Mouse,Accessories,North,15.38,3.0,21.0,COD,2.8
ORD1396,2025-03-26,Bluetooth Speaker,Audio,West ,42.79,5.0,17.0,Cash,4.1
ORD1148,2025-04-02,Wireless Mouse,Accessories,south,16.21,4.0,,UPI,4.3
ORD1793,2025-04-23,Webcam HD,Electronics,EAST,42.82,2.0,25.0,,2.8
ORD1684,2025-08-11,Noise Cancelling Headphones,Audio,North,84.16,2.0,41.0,Cash,5.0
ORD1540,12/02/2025,USB-C Hub,Accessories,south,24.26,6.0,16.0,Credit Card,5.0
ORD1158,2025-01-17,Power Bank,Electronics,West ,29.6,2.0,48.0,credit card,3.5
ORD1928,2025-08-03,Mechanical Keyboard,Accessories,West,,5.0,39.0,Credit Card,3.6
ORD1482,17/07/2025,Laptop Stand,Office,East,28.74,5.0,29.0,UPI,
ORD1569,2025-07-08,Bluetooth Speaker,Audio,West,35.98,2.0,29.0,Credit Card,3.9
ORD1493,2025-07-06,Webcam HD,Electronics,East,41.96,4.0,18.0,Cash,1.6
ORD1023,2025-01-21,Power Bank,Electronics,South,33.93,1.0,18.0,COD,4.2
ORD1689,10/02/2025,Webcam HD,Electronics,North,36.38,4.0,44.0,,
ORD1128,2025-01-16,Noise Cancelling Headphones,Audio,south,,4.0,17.0,COD,4.5
ORD1861,2025-08-07,Power Bank,Electronics,West,32.94,4.0,42.0,Credit Card,4.5
ORD1972,2025-03-12,Webcam HD,Electronics,south,38.39,4.0,,,4.7
ORD1324,2025-07-16,Desk Lamp,Office,East,20.57,2.0,45.0,COD,5.0
ORD1902,2025-01-13,Noise Cancelling Headphones,Audio,North,116.46,7.0,38.0,UPI,5.0
ORD1511,2025-08-12,USB-C Hub,Accessories,East,23.95,1.0,32.0,,4.1
ORD1362,2025-08-15,Laptop Stand,Office,south,21.39,4.0,42.0,COD,4.1
ORD1952,2025-04-05,Bluetooth Speaker,Audio,North,57.49,3.0,31.0,COD,5.0
ORD1467,2025-01-14,Wireless Mouse,Accessories,East,15.44,4.0,,UPI,3.8
ORD1714,2025-05-26,Noise Cancelling Headphones,Audio,North,95.46,5.0,41.0,Credit Card,5.0
ORD1846,2025-03-20,Mechanical Keyboard,Accessories,South,61.72,3.0,45.0,COD,
ORD1758,24/04/2025,Webcam HD,Electronics,south,41.02,1.0,16.0,Credit Card,5.0
ORD1830,2025-05-27,Power Bank,Electronics,South,20.66,5.0,33.0,,3.8
ORD1679,2025-07-28,Noise Cancelling Headphones,Audio,EAST,,4.0,26.0,,5.0
ORD1419,2025-08-03,USB-C Hub,Accessories,South,18.78,5.0,16.0,Credit Card,4.3
ORD1526,2025-03-18,USB-C Hub,Accessories, North,22.19,4.0,23.0,Cash,5.0
ORD1609,26/06/2025,USB-C Hub,Accessories,East,18.31,5.0,38.0,Credit Card,5.0
ORD1249,2025-07-18,Bluetooth Speaker,Audio,south,52.35,4.0,35.0,,2.5
ORD1379,2025-07-13,Wireless Mouse,Accessories,South,15.35,10.0,,UPI,4.6
ORD1015,2025-04-06,Mechanical Keyboard,Accessories,South,68.72,4.0,30.0,Debit Card,2.8
ORD1159,2025-04-26,Laptop Stand,Office,East,31.75,3.0,18.0,,4.6
ORD1644,2025-04-03,Mechanical Keyboard,Accessories, North,,5.0,39.0,Credit Card,3.2
ORD1048,2025-08-14,Noise Cancelling Headphones,Audio,North,95.93,3.0,32.0,UPI,4.4
ORD1989,2025-01-31,Desk Lamp,Office, North,16.88,3.0,,Credit Card,3.3
ORD1699,2025-02-22,Laptop Stand,Office,West ,28.88,3.0,16.0,COD,3.3
ORD1411,2025-06-03,Power Bank,Electronics,East,,4.0,43.0,COD,
ORD1377,2025-07-11,Desk Lamp,Office,south,19.03,5.0,,Credit Card,2.7
ORD1294,2025-05-25,Webcam HD,Electronics,West ,36.68,5.0,47.0,credit card,3.3
ORD1567,2025-06-07,Mechanical Keyboard,Accessories,North,37.51,4.0,26.0,Credit Card,4.1
ORD1127,2025-04-29,Bluetooth Speaker,Audio,North,49.19,6.0,42.0,Cash,4.5
ORD1297,2025-02-10,Bluetooth Speaker,Audio,West ,45.99,2.0,50.0,COD,4.9
ORD1996,25/08/2025,Webcam HD,Electronics,West ,43.13,3.0,37.0,Cash,2.9
ORD1237,2025-02-06,Bluetooth Speaker,Audio,West,49.96,4.0,37.0,credit card,3.5
ORD1167,2025-07-04,Laptop Stand,Office,West ,26.34,6.0,35.0,credit card,5.0
ORD1892,2025-02-04,Wireless Mouse,Accessories,south,13.4,5.0,40.0,UPI,3.2
ORD1446,2025-08-10,MECHANICAL KEYBOARD,Accessories,West,48.19,4.0,42.0,COD,3.7
ORD1080,2025-07-22,Laptop Stand,Office, North,25.11,3.0,43.0,,
ORD1875,2025-08-15,Webcam HD,Electronics,EAST,36.1,4.0,38.0,credit card,2.5
ORD1941,25/08/2025,Phone Case,Accessories, North,12.58,2.0,29.0,Cash,3.0
ORD1937,2025-08-21,Desk Lamp,Office, North,17.15,5.0,33.0,Credit Card,3.9
ORD1030,2025-08-15,Desk Lamp,Office,North,20.37,6.0,31.0,,3.2
ORD1242,31/05/2025,Webcam HD,Electronics,West ,34.37,2.0,38.0,credit card,4.8
ORD1671,2025-04-02,Mechanical Keyboard,Accessories,West,41.93,3.0,31.0,Cash,3.8
ORD1740,2025-04-20,Noise Cancelling Headphones,Audio,south,-92.04,3.0,37.0,COD,3.9
ORD1571,04/02/2025,Wireless Mouse,Accessories,EAST,15.29,3.0,45.0,Debit Card,5.0
ORD1775,2025-06-22,Phone Case,Accessories,EAST,13.17,2.0,34.0,,5.0
ORD1578,16/05/2025,Bluetooth Speaker,Audio, North,41.07,4.0,22.0,COD,5.0
ORD1705,2025-01-16,Desk Lamp,Office,West,21.25,2.0,28.0,Cash,
ORD1027,2025-06-17,Mechanical Keyboard,Accessories, North,53.57,1.0,35.0,COD,3.0
ORD1577,2025-02-05,Wireless Mouse,Accessories,south,15.95,4.0,24.0,COD,5.0
ORD1122,15/05/2025,Bluetooth Speaker,Audio,south,42.65,4.0,35.0,Debit Card,5.0
ORD1802,2025-07-24,Bluetooth Speaker,Audio,West,53.14,4.0,40.0,COD,3.7
