ApplicantID,Age,AnnualIncome,EmploymentType,CreditScore,LoanAmount,LoanTermMonths,NumExistingLoans,HomeOwnership,MaritalStatus,LoanPurpose,DebtToIncomeRatio,LoanDefault
LN5045,29,22172.19,Salaried,716.0,5411.85,48,1,Mortgage,Single,Home Improvement,0.308,0
LN5046,46,45837.87,Self-Employed,655.0,25396.02,24,0,Own,Single,Debt Consolidation,0.712,0
LN5047,22,45269.47,Salaried,707.0,12695.13,48,0,Rent,Single,Debt Consolidation,0.257,0
LN5048,40,30194.05,Salaried,747.0,14013.63,12,0,Rent,Divorced,Debt Consolidation,0.559,0
LN5049,48,64570.87,Salaried,621.0,34901.92,48,1,Rent,Single,Education,0.528,1
LN5050,27,123415.66,Self-Employed,355.0,23038.76,36,2,Rent,Married,Medical,0.233,0
LN5051,64,54783.34,Business Owner,576.0,17463.52,24,0,Rent,Single,Other,0.381,0
LN5052,28,53116.25,Salaried,759.0,13341.26,36,1,Rent,Married,Home Improvement,0.21,0
LN5053,55,30680.61,Unemployed,647.0,13266.7,36,1,Rent,Married,Home Improvement,0.434,0
LN5054,34,98588.25,Self-Employed,619.0,15430.0,24,2,Rent,Divorced,Medical,0.152,0
LN5055,37,47213.16,Business Owner,755.0,17054.07,12,1,Mortgage,Married,Education,0.431,0
LN5056,56,36699.5,Self-Employed,641.0,37303.45,36,1,Own,Married,Education,1.022,0
LN5057,60,50606.95,Business Owner,462.0,58921.4,36,2,Mortgage,Married,Medical,1.33,1
LN5058,24,62067.68,Salaried,515.0,15901.31,48,0,Rent,Single,Medical,0.282,0
LN5059,22,52554.59,Business Owner,688.0,3670.32,60,1,Own,Married,Business,0.09,0
LN5060,26,89596.96,Salaried,644.0,7547.36,36,0,Own,Single,Education,0.107,0
LN5061,62,59396.21,Business Owner,781.0,39612.43,48,0,Own,Single,Debt Consolidation,0.676,0
LN5062,24,42532.73,Unemployed,584.0,20561.83,36,0,Rent,Single,Home Improvement,0.562,0
LN5063,49,59909.84,Salaried,622.0,17251.04,48,2,Mortgage,Married,Education,0.35,1
LN5064,38,62932.53,Salaried,570.0,12087.14,24,4,Mortgage,Married,Medical,0.24,0
LN5065,46,25637.52,Business Owner,603.0,6545.85,24,0,Own,Married,Debt Consolidation,0.213,0
LN5066,64,87091.09,Salaried,480.0,36558.68,36,2,Rent,Married,Business,0.399,1
LN5067,54,42173.53,Business Owner,615.0,8152.45,12,2,Mortgage,Single,Other,0.186,0
LN5068,30,42716.41,Salaried,645.0,20693.75,48,0,Mortgage,Married,Business,0.493,0
LN5069,56,71373.93,Salaried,638.0,6121.6,48,0,Rent,Married,Debt Consolidation,0.076,0
LN5070,34,71223.82,Unemployed,843.0,11740.4,24,1,Mortgage,Divorced,Debt Consolidation,0.173,0
LN5071,51,34530.01,Self-Employed,815.0,24240.36,36,3,Mortgage,Married,Medical,0.794,0
LN5072,35,73236.62,Business Owner,582.0,11500.93,48,1,Rent,Married,Other,0.165,0
LN5073,28,37040.82,Salaried,466.0,10709.97,48,2,Mortgage,Married,Medical,0.328,1
LN5074,34,121757.49,Self-Employed,641.0,13445.26,24,0,Rent,Single,Home Improvement,0.092,0
LN5075,43,32399.65,Self-Employed,684.0,5993.3,24,1,Own,Single,Other,0.229,0
LN5076,60,55256.36,Self-Employed,573.0,5353.53,36,1,Own,Single,Other,0.123,0
LN5077,41,33156.4,Self-Employed,577.0,20507.42,36,2,Rent,Single,Home Improvement,0.686,1
LN5078,36,148947.3,Self-Employed,792.0,10370.02,24,3,Rent,Married,Business,0.086,0
LN5079,38,26399.21,Salaried,627.0,20412.26,24,1,Own,Divorced,Debt Consolidation,0.669,0
LN5080,44,63715.39,Salaried,710.0,26131.84,48,1,Own,Married,Business,0.492,0
LN5081,46,33946.63,Business Owner,566.0,27424.32,36,0,Rent,Married,Medical,0.694,0
LN5082,45,41066.43,Salaried,645.0,5051.27,60,0,Rent,Married,Education,0.123,0
LN5083,61,61498.55,Self-Employed,620.0,8789.41,48,0,Mortgage,Single,Medical,0.137,0
LN5084,49,90426.46,Salaried,589.0,18445.05,60,2,Rent,Single,Education,0.223,0
LN5085,35,110381.55,Self-Employed,754.0,18616.45,24,2,Own,Married,Debt Consolidation,0.16,0
LN5086,21,22731.93,Self-Employed,525.0,51516.76,48,3,Mortgage,Married,Debt Consolidation,1.48,1
LN5087,45,56043.06,Salaried,677.0,7749.87,12,0,Own,Divorced,Other,0.136,0
LN5088,27,101696.36,Salaried,618.0,26927.44,36,0,Mortgage,Single,Debt Consolidation,0.326,0
LN5089,29,21106.67,Salaried,687.0,16703.35,36,3,Own,Divorced,Home Improvement,0.884,0
LN5090,44,57365.12,Self-Employed,619.0,4993.33,24,0,Mortgage,Single,Home Improvement,0.079,0
LN5091,21,48969.75,Business Owner,728.0,9617.22,48,1,Mortgage,Married,Education,0.19,0
LN5092,64,60311.07,Salaried,565.0,15638.9,48,2,Mortgage,Married,Business,0.317,1
LN5093,28,33317.83,Self-Employed,754.0,4804.84,12,0,Own,Single,Other,0.143,0
LN5094,44,23913.31,Salaried,647.0,3849.34,36,0,Mortgage,Single,Business,0.172,1
LN5095,31,18834.52,Salaried,530.0,4643.64,24,0,Rent,Single,Education,0.277,0
LN5096,37,79872.91,Unemployed,711.0,15607.08,36,0,Mortgage,Single,Home Improvement,0.19,0
LN5097,28,85137.64,Salaried,632.0,9988.6,48,1,Rent,Married,Medical,0.111,0
LN5098,55,57030.57,Salaried,496.0,9209.83,24,0,Mortgage,Single,Other,0.168,0
LN5099,55,37531.12,Salaried,680.0,9401.52,60,1,Mortgage,Married,Education,0.227,0
LN5100,53,21774.11,Salaried,741.0,5684.66,24,2,Mortgage,Single,Business,0.246,1
LN5101,25,64969.47,Salaried,765.0,10159.43,36,1,Rent,Married,Education,0.13,0
LN5102,62,28271.52,Salaried,616.0,4481.72,36,3,Own,Married,Education,0.151,0
LN5103,59,34349.77,Self-Employed,663.0,27243.89,24,1,Own,Married,Debt Consolidation,0.762,0
LN5104,61,36560.29,Salaried,655.0,36879.01,24,2,Rent,Married,Home Improvement,1.292,0
LN5105,48,44410.55,Salaried,784.0,3308.87,48,2,Rent,Single,Other,0.082,0
LN5106,27,33539.52,Salaried,577.0,10082.15,48,2,Rent,Married,Debt Consolidation,0.359,1
LN5107,29,49847.79,Salaried,608.0,10483.87,24,1,Mortgage,Single,Home Improvement,0.173,0
LN5108,28,35921.48,Self-Employed,575.0,12031.81,36,3,Mortgage,Single,Education,0.286,0
LN5109,32,69611.6,Unemployed,520.0,24365.37,12,0,Rent,Single,Home Improvement,0.423,0
LN5110,54,82086.71,Salaried,672.0,10099.83,24,0,Mortgage,Married,Business,0.137,0
LN5111,53,51754.74,Business Owner,794.0,12670.72,36,1,Rent,Married,Other,0.219,0
LN5112,43,61778.65,Self-Employed,632.0,79812.31,12,1,Rent,Married,Debt Consolidation,1.295,0
LN5113,44,141340.62,Self-Employed,571.0,12496.75,48,1,Rent,Married,Other,0.095,0
LN5114,57,27274.25,Salaried,667.0,38551.25,48,2,Mortgage,Single,Education,1.48,1
LN5115,55,26456.73,Salaried,703.0,18055.26,60,0,Mortgage,Divorced,Business,0.567,0
LN5116,64,69390.06,Salaried,636.0,9583.27,36,1,Rent,Married,Home Improvement,0.152,0
LN5117,60,129737.88,Self-Employed,776.0,8669.44,60,2,Mortgage,Married,Home Improvement,0.077,0
LN5118,42,43034.21,Salaried,577.0,13301.56,36,3,Mortgage,Married,Business,0.398,0
LN5119,47,116240.54,Unemployed,624.0,6796.18,36,1,Own,Single,Home Improvement,0.07,0
LN5120,55,51442.34,Salaried,677.0,7955.99,60,1,Own,Single,Debt Consolidation,0.145,0
LN5121,21,34876.08,Salaried,646.0,10364.73,36,2,Mortgage,Married,Medical,0.343,0
LN5122,55,29871.31,Self-Employed,654.0,15930.74,12,0,Rent,Single,Home Improvement,0.63,0
LN5123,57,67151.52,Salaried,535.0,39958.57,48,2,Mortgage,Single,Education,0.693,0
LN5124,34,31024.13,Salaried,850.0,9986.88,60,1,Mortgage,Divorced,Home Improvement,0.39,0
LN5125,23,51053.96,Self-Employed,629.0,17622.13,48,1,Mortgage,Married,Other,0.432,0
LN5126,21,108199.55,Unemployed,646.0,5030.43,36,1,Own,Married,Education,0.039,0
LN5127,25,42049.8,Business Owner,706.0,25239.69,36,1,Rent,Married,Home Improvement,0.512,0
LN5128,46,94561.41,Self-Employed,593.0,4755.18,60,2,Rent,Divorced,Home Improvement,0.06,0
LN5129,34,26708.26,Self-Employed,655.0,21569.42,12,1,Own,Single,Education,0.748,1
LN5130,59,37535.61,Unemployed,589.0,12726.54,36,2,Rent,Married,Debt Consolidation,0.281,0
LN5131,47,24256.21,Salaried,687.0,12426.77,24,1,Mortgage,Married,Medical,0.513,1
LN5132,29,50843.03,Salaried,625.0,11157.21,36,1,Rent,Single,Medical,0.266,1
LN5133,35,72405.61,Salaried,674.0,6119.58,36,1,Mortgage,Single,Debt Consolidation,0.073,0
LN5134,35,50898.74,Salaried,556.0,6317.24,24,1,Own,Married,Home Improvement,0.141,0
LN5135,46,90538.01,Self-Employed,575.0,22068.62,24,1,Mortgage,Married,Medical,0.195,0
LN5136,62,33705.3,Self-Employed,527.0,13455.75,36,1,Rent,Single,Debt Consolidation,0.341,1
LN5137,33,54867.22,Self-Employed,586.0,11108.5,12,1,Own,Married,Debt Consolidation,0.197,0
LN5138,52,37656.67,Salaried,418.0,17431.58,24,1,Rent,Married,Medical,0.39,1
LN5139,59,58737.77,Self-Employed,622.0,14197.0,48,2,Own,Married,Education,0.296,0
LN5140,52,47508.68,Salaried,602.0,8301.91,24,1,Rent,Divorced,Business,0.162,1
LN5141,24,65591.28,Self-Employed,664.0,58489.22,36,2,Own,Divorced,Education,1.05,0
LN5142,50,28701.45,Self-Employed,654.0,20836.34,60,0,Rent,Married,Home Improvement,0.669,1
LN5143,57,31417.71,Salaried,763.0,14418.12,24,1,Mortgage,Divorced,Education,0.487,0
LN5144,43,34470.4,Salaried,850.0,9816.63,24,1,Mortgage,Single,Other,0.254,0
LN5145,59,43501.89,Salaried,752.0,23662.71,36,1,Rent,Single,Business,0.512,0
LN5146,35,51205.04,Business Owner,609.0,8328.67,48,3,Rent,Single,Business,0.172,1
LN5147,63,69845.75,Unemployed,606.0,7918.33,60,0,Rent,Married,Debt Consolidation,0.132,0
LN5148,49,32078.8,Self-Employed,728.0,36901.05,60,0,Own,Married,Other,0.975,0
LN5149,56,22015.24,Salaried,498.0,13607.89,48,1,Mortgage,Married,Home Improvement,0.586,1
LN5150,33,144043.64,Salaried,622.0,8450.58,24,4,Mortgage,Single,Debt Consolidation,0.074,0
LN5151,52,27841.24,Self-Employed,629.0,13405.38,12,0,Mortgage,Single,Education,0.488,0
LN5152,27,74470.76,Business Owner,703.0,22250.33,24,0,Mortgage,Divorced,Education,0.379,0
LN5153,42,49793.19,Salaried,705.0,19394.65,12,2,Own,Divorced,Medical,0.505,0
LN5154,48,55584.12,Salaried,583.0,23969.98,48,1,Rent,Married,Debt Consolidation,0.459,0
LN5155,22,48982.81,Self-Employed,613.0,6312.37,36,0,Rent,Married,Other,0.122,0
LN5156,62,40440.18,Salaried,690.0,23611.51,12,1,Own,Married,Debt Consolidation,0.698,0
LN5157,26,61820.24,Salaried,578.0,11998.83,48,0,Mortgage,Single,Debt Consolidation,0.171,0
LN5158,48,39367.91,Salaried,759.0,14093.38,24,1,Mortgage,Married,Debt Consolidation,0.332,0
LN5159,48,87829.38,Salaried,705.0,27603.47,36,1,Rent,Married,Business,0.375,0
LN5160,64,65135.21,Business Owner,665.0,20366.27,36,0,Own,Married,Medical,0.318,0
LN5161,64,66157.73,Unemployed,685.0,16492.01,36,1,Rent,Single,Home Improvement,0.225,0
LN5162,40,38041.71,Self-Employed,608.0,4062.7,36,0,Mortgage,Divorced,Home Improvement,0.12,0
LN5163,50,43556.87,Salaried,646.0,12999.93,12,0,Mortgage,Married,Home Improvement,0.348,0
LN5164,31,27066.27,Salaried,612.0,8343.14,36,2,Rent,Single,Business,0.266,0
LN5165,48,41088.85,Salaried,695.0,20468.19,48,1,Rent,Married,Medical,0.467,0
LN5166,45,29193.81,Salaried,668.0,24211.3,60,1,Own,Divorced,Other,0.755,0
LN5167,59,94516.93,Self-Employed,612.0,11145.39,36,1,Mortgage,Single,Medical,0.117,0
LN5168,53,50275.24,Salaried,717.0,8953.28,36,1,Rent,Married,Business,0.21,0
LN5169,21,53383.05,Salaried,634.0,33988.6,48,0,Own,Married,Other,0.737,0
LN5170,47,43801.65,Salaried,588.0,9303.18,60,0,Rent,Married,Debt Consolidation,0.24,1
LN5171,33,54110.82,Salaried,673.0,6524.23,24,0,Rent,Married,Education,0.097,0
LN5172,61,168120.93,Salaried,559.0,8106.3,36,2,Rent,Single,Debt Consolidation,0.042,0
LN5173,23,42189.64,Salaried,498.0,9575.86,48,4,Mortgage,Single,Home Improvement,0.207,1
LN5174,59,35411.56,Unemployed,650.0,7967.95,36,4,Mortgage,Single,Debt Consolidation,0.211,1
LN5175,26,63885.43,Salaried,591.0,22186.4,12,1,Rent,Single,Business,0.303,0
LN5176,28,15000.0,Salaried,627.0,3573.33,36,1,Mortgage,Married,Home Improvement,0.239,1
LN5177,47,50613.74,Business Owner,563.0,7867.25,24,1,Own,Married,Education,0.13,0
LN5178,29,50438.32,Unemployed,759.0,12984.37,36,1,Rent,Single,Other,0.375,0
LN5179,57,29847.11,Self-Employed,590.0,15155.94,36,2,Own,Married,Other,0.606,0
LN5180,53,63188.58,Business Owner,611.0,36868.06,48,2,Rent,Married,Home Improvement,0.634,0
LN5181,62,50362.1,Salaried,684.0,33763.74,36,3,Rent,Single,Debt Consolidation,0.566,0
LN5182,64,19906.38,Salaried,526.0,5113.08,24,2,Rent,Married,Medical,0.32,0
LN5183,44,35480.38,Salaried,519.0,4252.11,24,1,Rent,Married,Medical,0.154,1
LN5184,35,15000.0,Self-Employed,684.0,13561.4,48,3,Own,Married,Other,0.815,1
LN5185,52,56762.7,Self-Employed,610.0,8920.34,24,2,Mortgage,Single,Medical,0.181,0
LN5186,52,56480.44,Salaried,569.0,6534.06,36,0,Rent,Married,Home Improvement,0.141,0
LN5187,44,32970.19,Salaried,704.0,13489.58,24,1,Mortgage,Divorced,Medical,0.438,0
LN5188,61,64219.13,Self-Employed,577.0,15343.06,48,1,Rent,Married,Business,0.23,0
LN5189,32,25816.02,Salaried,625.0,8075.73,36,1,Rent,Single,Other,0.325,0
LN5190,59,30234.58,Self-Employed,569.0,9187.04,24,2,Own,Married,Education,0.321,0
LN5191,22,60390.99,Self-Employed,677.0,8457.21,24,1,Rent,Single,Medical,0.14,0
LN5192,23,34740.68,Self-Employed,770.0,10436.92,48,1,Own,Married,Business,0.38,0
LN5193,57,47508.86,Business Owner,483.0,18487.8,36,1,Own,Single,Business,0.456,0
LN5194,37,36981.59,Business Owner,646.0,6997.14,48,1,Rent,Single,Home Improvement,0.174,0
LN5195,22,39916.08,Salaried,727.0,9095.99,48,0,Rent,Married,Other,0.249,0
LN5196,22,40797.98,Self-Employed,612.0,10513.66,60,0,Mortgage,Single,Home Improvement,0.295,0
LN5197,48,34427.87,Self-Employed,548.0,13305.71,24,1,Mortgage,Married,Education,0.336,1
LN5198,43,57023.85,Salaried,688.0,15765.68,60,2,Mortgage,Single,Education,0.271,0
LN5199,57,35811.91,Salaried,740.0,45494.86,12,1,Mortgage,Single,Debt Consolidation,1.48,1
LN5200,52,49406.8,Salaried,730.0,18831.3,24,3,Mortgage,Married,Education,0.413,0
LN5201,53,34051.66,Salaried,683.0,19102.2,48,0,Own,Divorced,Other,0.51,0
LN5202,21,22762.07,Self-Employed,659.0,11384.77,24,2,Rent,Single,Other,0.431,0
LN5203,39,77359.42,Business Owner,646.0,7421.08,24,0,Rent,Married,Home Improvement,0.102,0
LN5204,22,62929.07,Salaried,728.0,9731.0,24,2,Mortgage,Single,Business,0.166,0
LN5205,64,153943.52,Salaried,723.0,8723.72,36,1,Own,Married,Debt Consolidation,0.055,0
LN5206,46,29086.04,Unemployed,548.0,16904.56,36,1,Rent,Married,Education,0.648,1
LN5207,52,44157.57,Salaried,683.0,4960.35,48,0,Rent,Single,Business,0.094,0
LN5208,26,45970.09,Salaried,709.0,19063.3,48,1,Rent,Married,Home Improvement,0.362,0
LN5209,52,80393.19,Self-Employed,729.0,12452.25,36,0,Own,Single,Medical,0.166,0
LN5210,24,38042.0,Salaried,643.0,20743.93,24,0,Own,Single,Debt Consolidation,0.453,0
LN5211,31,27295.55,Salaried,573.0,8652.95,60,3,Mortgage,Married,Other,0.393,0
LN5212,37,89671.18,Salaried,605.0,7778.96,24,1,Rent,Married,Business,0.076,0
LN5213,58,41842.8,Salaried,559.0,10467.17,12,3,Mortgage,Married,Home Improvement,0.284,0
LN5214,44,76063.34,Self-Employed,645.0,10317.64,12,1,Mortgage,Married,Home Improvement,0.135,0
LN5215,25,71761.2,Salaried,628.0,21672.71,36,1,Own,Married,Debt Consolidation,0.302,0
LN5216,54,48293.62,Salaried,843.0,21548.96,12,0,Mortgage,Married,Debt Consolidation,0.528,0
LN5217,26,44929.2,Self-Employed,731.0,41898.86,12,1,Rent,Single,Education,0.979,0
LN5218,42,40304.47,Business Owner,737.0,9923.93,24,0,Mortgage,Married,Education,0.286,0
LN5219,31,48649.82,Salaried,692.0,1792.68,24,4,Rent,Married,Other,0.039,1
LN5220,36,75474.5,Salaried,617.0,10449.89,36,1,Mortgage,Married,Other,0.152,0
LN5221,53,32918.16,Self-Employed,646.0,15342.7,48,2,Mortgage,Married,Debt Consolidation,0.55,0
LN5222,29,51762.58,Salaried,633.0,20511.04,48,1,Mortgage,Single,Debt Consolidation,0.437,0
LN5223,26,28020.29,Salaried,667.0,16029.12,24,0,Mortgage,Married,Business,0.634,1
LN5224,36,29820.37,Self-Employed,685.0,9919.26,24,1,Own,Single,Education,0.397,1
LN5225,49,48268.31,Business Owner,650.0,37365.33,60,1,Rent,Married,Home Improvement,0.987,0
LN5226,23,18396.6,Business Owner,624.0,7185.06,12,2,Rent,Married,Education,0.386,1
LN5227,40,137348.85,Self-Employed,597.0,11330.04,48,1,Mortgage,Divorced,Education,0.09,0
LN5228,56,26996.7,Self-Employed,525.0,6988.73,24,2,Own,Married,Debt Consolidation,0.218,1
LN5229,39,48048.0,Salaried,766.0,13517.58,60,1,Rent,Divorced,Debt Consolidation,0.276,0
LN5230,46,87913.52,Self-Employed,848.0,34662.15,24,1,Mortgage,Married,Education,0.397,0
LN5231,23,31842.19,Salaried,758.0,12276.53,36,1,Own,Divorced,Medical,0.469,0
LN5232,39,15500.87,Salaried,537.0,12321.74,48,2,Mortgage,Married,Medical,0.84,1
LN5233,40,39242.95,Self-Employed,721.0,4829.14,36,1,Rent,Divorced,Other,0.143,0
LN5234,52,31653.05,Self-Employed,742.0,11246.41,24,1,Mortgage,Single,Education,0.288,0
LN5235,27,15706.24,Salaried,614.0,26643.28,36,1,Mortgage,Single,Medical,1.48,1
LN5236,61,56525.38,Unemployed,694.0,11497.19,48,1,Mortgage,Married,Other,0.254,0
LN5237,53,54368.86,Salaried,609.0,11040.5,12,1,Own,Divorced,Other,0.185,0
LN5238,60,86782.76,Salaried,788.0,25937.08,12,3,Mortgage,Married,Education,0.244,0
LN5239,59,27989.61,Salaried,683.0,11068.53,36,0,Rent,Single,Other,0.402,0
LN5240,38,22035.98,Business Owner,567.0,29005.25,12,2,Rent,Married,Debt Consolidation,1.48,0
LN5241,60,40000.15,Self-Employed,710.0,6180.88,36,1,Own,Married,Debt Consolidation,0.159,0
LN5242,21,46902.61,Salaried,745.0,20064.6,24,3,Own,Single,Debt Consolidation,0.441,0
LN5243,31,77704.99,Self-Employed,668.0,35875.06,36,0,Rent,Married,Home Improvement,0.524,0
LN5244,48,99238.77,Salaried,693.0,24458.04,24,0,Rent,Divorced,Debt Consolidation,0.229,0
LN5245,45,89970.72,Business Owner,644.0,4357.42,36,1,Mortgage,Divorced,Debt Consolidation,0.057,0
LN5246,43,56289.98,Salaried,548.0,9109.0,12,0,Mortgage,Single,Education,0.142,0
LN5247,51,73112.13,Salaried,636.0,11554.49,12,1,Own,Single,Medical,0.158,0
LN5248,50,35587.63,Unemployed,697.0,24488.85,12,0,Mortgage,Single,Medical,0.776,1
LN5249,62,53326.98,Salaried,638.0,6009.09,60,0,Own,Single,Debt Consolidation,0.137,0
LN5250,55,27020.6,Salaried,722.0,7249.14,12,0,Rent,Single,Debt Consolidation,0.321,0
LN5251,27,50581.58,Self-Employed,615.0,5099.56,48,3,Mortgage,Married,Debt Consolidation,0.117,1
LN5252,36,51242.44,Unemployed,621.0,8139.79,12,1,Rent,Single,Other,0.156,0
LN5253,46,115967.39,Salaried,725.0,6304.61,12,0,Rent,Divorced,Education,0.047,0
LN5254,22,43717.71,Salaried,670.0,34847.74,36,0,Rent,Divorced,Education,0.724,0
LN5255,21,51278.22,Salaried,613.0,9059.54,36,1,Mortgage,Single,Education,0.218,0
LN5256,32,55186.89,Salaried,743.0,20222.58,60,0,Own,Divorced,Medical,0.45,0
LN5257,25,39049.68,Salaried,588.0,13504.55,60,1,Rent,Married,Home Improvement,0.441,0
LN5258,57,32818.7,Self-Employed,585.0,13391.52,48,0,Rent,Married,Medical,0.342,1
LN5259,52,93845.55,Unemployed,395.0,9368.74,36,0,Rent,Single,Education,0.107,0
LN5260,29,30017.66,Salaried,600.0,21205.45,36,1,Own,Married,Business,0.794,0
LN5261,61,25236.36,Salaried,768.0,14656.02,24,0,Mortgage,Single,Home Improvement,0.671,0
LN5262,55,68880.8,Salaried,463.0,14158.16,60,1,Rent,Married,Debt Consolidation,0.231,0
LN5263,39,87457.43,Salaried,564.0,9357.63,36,1,Own,Single,Other,0.127,0
LN5264,36,39116.32,Business Owner,690.0,10323.05,36,0,Mortgage,Married,Medical,0.259,0
LN5265,23,39417.82,Salaried,448.0,19021.91,24,2,Mortgage,Single,Other,0.429,0
LN5266,40,56459.1,Salaried,604.0,15337.15,12,1,Own,Single,Home Improvement,0.245,0
LN5267,44,34409.01,Self-Employed,753.0,14387.04,60,0,Own,Married,Business,0.337,0
LN5268,53,33161.46,Salaried,834.0,8497.9,24,1,Mortgage,Married,Home Improvement,0.25,0
LN5269,44,76099.45,Self-Employed,676.0,42893.03,36,2,Own,Married,Medical,0.477,0
LN5270,31,66407.52,Salaried,567.0,10018.37,12,1,Rent,Single,Education,0.145,0
LN5271,28,94426.73,Business Owner,646.0,13119.41,48,0,Own,Divorced,Debt Consolidation,0.155,0
LN5272,56,26205.0,Unemployed,663.0,11941.56,12,2,Mortgage,Married,Education,0.568,0
LN5273,58,38130.46,Self-Employed,675.0,43166.79,48,0,Rent,Single,Education,1.381,0
LN5274,60,56420.61,Unemployed,817.0,11220.65,12,0,Mortgage,Married,Medical,0.184,0
LN5275,40,30859.18,Salaried,737.0,10621.07,48,3,Mortgage,Married,Education,0.298,0
LN5276,55,67564.89,Salaried,658.0,14342.56,48,1,Rent,Single,Education,0.19,0
LN5277,45,90428.39,Self-Employed,620.0,8812.05,24,2,Rent,Married,Medical,0.125,0
