CustomerID,SeniorCitizen,TenureMonths,ContractType,InternetService,TechSupport,OnlineSecurity,PaperlessBilling,PaymentMethod,NumSupportCalls,MonthlyCharges,TotalCharges,Churn
CUST2034,0,39,Month-to-Month,Fiber Optic,Yes,No,Yes,Bank Transfer,2,110.29,4316.68,0
CUST2035,0,18,Month-to-Month,No Internet,No,Yes,Yes,Mailed Check,2,87.12,1672.26,0
CUST2036,0,4,Month-to-Month,DSL,No,No,No,Mailed Check,1,71.71,301.59,1
CUST2037,0,60,Month-to-Month,Fiber Optic,No,No,No,Credit Card,0,47.16,2839.97,0
CUST2038,0,14,One Year,No Internet,No,No,Yes,Bank Transfer,2,43.15,621.93,1
CUST2039,0,9,Two Year,DSL,No,Yes,No,Electronic Check,0,24.34,214.97,0
CUST2040,0,53,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Credit Card,2,107.92,5754.8,0
CUST2041,0,2,Two Year,No Internet,No,No,Yes,Mailed Check,2,103.44,207.18,0
CUST2042,0,60,Month-to-Month,No Internet,No,No,Yes,Bank Transfer,1,29.84,1865.28,0
CUST2043,0,71,Month-to-Month,Fiber Optic,No,Yes,Yes,Mailed Check,2,51.18,,0
CUST2044,0,44,Two Year,DSL,Yes,Yes,Yes,Credit Card,2,75.83,3069.44,0
CUST2045,0,8,Month-to-Month,DSL,No,No,No,Credit Card,0,57.51,486.65,0
CUST2046,0,47,Two Year,DSL,Yes,No,No,Bank Transfer,0,17.03,830.0,0
CUST2047,1,35,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,3,48.56,1852.61,0
CUST2048,1,36,Month-to-Month,DSL,Yes,No,Yes,Credit Card,3,113.78,4037.68,1
CUST2049,0,50,Month-to-Month,No Internet,No,No,No,Electronic Check,0,50.25,2300.55,0
CUST2050,0,4,One Year,DSL,No,No,Yes,Mailed Check,2,60.91,225.2,0
CUST2051,0,2,One Year,DSL,Yes,Yes,No,Electronic Check,1,36.37,76.72,0
CUST2052,0,6,One Year,Fiber Optic,No,No,Yes,Electronic Check,2,79.69,436.81,1
CUST2053,0,54,Month-to-Month,Fiber Optic,No,No,Yes,Bank Transfer,1,67.88,3964.5,0
CUST2054,0,4,Month-to-Month,DSL,No,Yes,Yes,Credit Card,0,46.45,177.69,0
CUST2055,0,54,Month-to-Month,Fiber Optic,No,No,No,Mailed Check,1,32.38,1888.01,0
CUST2056,1,63,Month-to-Month,Fiber Optic,No,No,No,Mailed Check,1,100.11,6651.93,0
CUST2057,0,18,Two Year,DSL,No,No,Yes,Mailed Check,0,24.86,480.7,0
CUST2058,0,44,Month-to-Month,DSL,Yes,No,No,Credit Card,1,77.6,3219.12,1
CUST2059,0,34,Two Year,No Internet,Yes,No,Yes,Mailed Check,1,15.0,519.76,0
CUST2060,0,62,Two Year,Fiber Optic,Yes,No,Yes,Mailed Check,1,82.68,4709.49,1
CUST2061,0,14,Month-to-Month,DSL,No,No,No,Credit Card,0,89.26,1175.23,0
CUST2062,0,48,One Year,No Internet,Yes,No,Yes,Bank Transfer,2,92.37,4265.19,0
CUST2063,0,15,Month-to-Month,No Internet,Yes,Yes,Yes,Mailed Check,1,60.97,958.6,0
CUST2064,0,62,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,1,104.6,5868.74,0
CUST2065,0,40,Month-to-Month,Fiber Optic,No,No,No,Electronic Check,0,122.69,5303.27,1
CUST2066,0,53,One Year,No Internet,No,No,No,Credit Card,3,56.96,2759.74,0
CUST2067,0,24,Month-to-Month,No Internet,Yes,No,No,Electronic Check,3,53.72,1257.43,1
CUST2068,1,26,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,2,68.73,1637.26,0
CUST2069,0,60,Month-to-Month,Fiber Optic,No,No,No,Mailed Check,2,53.06,3354.86,0
CUST2070,0,41,Month-to-Month,Fiber Optic,No,No,Yes,Bank Transfer,2,49.4,1880.1,0
CUST2071,1,29,One Year,Fiber Optic,Yes,Yes,No,Bank Transfer,0,51.58,1610.93,0
CUST2072,0,15,One Year,DSL,No,No,Yes,Mailed Check,1,107.89,1628.13,1
CUST2073,0,45,Month-to-Month,Fiber Optic,No,No,Yes,Electronic Check,1,84.3,4133.76,0
CUST2074,0,65,Month-to-Month,No Internet,Yes,No,Yes,Credit Card,1,52.98,3299.31,0
CUST2075,0,71,One Year,Fiber Optic,No,Yes,No,Mailed Check,2,15.0,1055.27,0
CUST2076,0,9,Month-to-Month,Fiber Optic,No,No,No,Credit Card,0,26.39,246.74,0
CUST2077,0,1,One Year,Fiber Optic,Yes,Yes,Yes,Mailed Check,2,77.59,82.74,0
CUST2078,1,8,Month-to-Month,DSL,No,No,Yes,Mailed Check,1,15.0,118.11,1
CUST2079,0,63,Month-to-Month,Fiber Optic,Yes,No,No,Credit Card,0,72.32,4913.76,0
CUST2080,0,11,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Bank Transfer,2,38.36,389.72,1
CUST2081,0,8,Month-to-Month,DSL,No,No,No,Bank Transfer,1,67.3,560.87,0
CUST2082,0,35,One Year,DSL,No,No,No,Electronic Check,2,66.6,2260.23,0
CUST2083,0,35,Month-to-Month,No Internet,No,No,Yes,Credit Card,1,68.01,2190.56,0
CUST2084,0,33,One Year,DSL,No,No,Yes,Electronic Check,2,55.14,1778.37,0
CUST2085,0,5,Two Year,DSL,Yes,Yes,Yes,Mailed Check,2,54.32,292.25,0
CUST2086,0,41,Month-to-Month,No Internet,No,No,Yes,Electronic Check,0,46.98,2111.3,1
CUST2087,1,28,One Year,Fiber Optic,No,Yes,Yes,Mailed Check,0,77.1,2112.52,0
CUST2088,0,7,Month-to-Month,Fiber Optic,No,No,No,Credit Card,1,85.13,641.96,1
CUST2089,0,12,Month-to-Month,No Internet,No,No,Yes,Credit Card,2,34.53,415.16,0
CUST2090,0,34,One Year,DSL,No,Yes,Yes,Credit Card,2,63.71,2260.16,0
CUST2091,0,33,Month-to-Month,Fiber Optic,No,No,No,Credit Card,0,69.91,2097.26,0
CUST2092,0,48,One Year,Fiber Optic,No,Yes,No,Electronic Check,0,69.59,3378.61,0
CUST2093,0,23,Month-to-Month,No Internet,Yes,No,No,Mailed Check,1,69.17,1454.14,0
CUST2094,0,62,One Year,Fiber Optic,No,Yes,Yes,Bank Transfer,0,54.95,3249.24,0
CUST2095,0,37,Two Year,Fiber Optic,Yes,No,No,Credit Card,0,71.98,2698.85,0
CUST2096,0,44,Two Year,Fiber Optic,Yes,Yes,No,Credit Card,1,80.45,3757.26,0
CUST2097,0,35,One Year,Fiber Optic,Yes,No,Yes,Mailed Check,1,68.53,2427.76,0
CUST2098,0,65,One Year,Fiber Optic,No,No,Yes,Bank Transfer,1,77.65,5487.56,0
CUST2099,0,47,One Year,Fiber Optic,No,Yes,Yes,Credit Card,3,89.76,4480.56,1
CUST2100,0,3,One Year,Fiber Optic,No,No,No,Bank Transfer,0,18.73,52.33,0
CUST2101,1,1,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,2,88.59,86.62,1
CUST2102,0,5,Month-to-Month,Fiber Optic,No,No,No,Electronic Check,4,73.56,380.19,1
CUST2103,0,14,Month-to-Month,Fiber Optic,Yes,No,No,Electronic Check,0,37.21,566.62,0
CUST2104,0,27,Two Year,No Internet,Yes,No,Yes,Bank Transfer,0,85.06,2520.64,0
CUST2105,1,9,Month-to-Month,Fiber Optic,No,Yes,Yes,Mailed Check,1,55.04,521.43,0
CUST2106,0,15,Month-to-Month,No Internet,No,Yes,Yes,Mailed Check,1,58.45,889.69,0
CUST2107,0,42,Month-to-Month,No Internet,No,No,Yes,Electronic Check,2,52.31,2309.78,0
CUST2108,1,51,One Year,Fiber Optic,No,No,No,Mailed Check,1,72.56,3532.73,0
CUST2109,0,63,One Year,Fiber Optic,Yes,No,No,Mailed Check,1,45.37,2734.6,0
CUST2110,0,52,Month-to-Month,No Internet,No,Yes,Yes,Mailed Check,1,87.54,4692.6,0
CUST2111,0,4,Month-to-Month,Fiber Optic,No,No,No,Bank Transfer,3,61.53,264.42,1
CUST2112,0,23,Two Year,No Internet,No,No,Yes,Bank Transfer,2,55.89,1406.26,0
CUST2113,0,15,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Mailed Check,3,83.82,1217.4,0
CUST2114,0,43,Month-to-Month,Fiber Optic,No,No,Yes,Electronic Check,1,57.01,2596.83,1
CUST2115,0,29,One Year,DSL,No,No,Yes,Mailed Check,0,88.7,2753.15,0
CUST2116,0,36,Two Year,Fiber Optic,Yes,No,No,Credit Card,3,89.49,3301.0,0
CUST2117,0,13,Month-to-Month,No Internet,No,No,No,Electronic Check,0,31.63,398.66,0
CUST2118,0,32,One Year,Fiber Optic,No,No,Yes,Bank Transfer,0,92.73,3038.04,0
CUST2119,0,71,Two Year,Fiber Optic,No,No,Yes,Credit Card,2,28.45,2054.07,0
CUST2120,0,59,Month-to-Month,No Internet,No,Yes,Yes,Mailed Check,0,94.29,5681.63,0
CUST2121,0,28,Two Year,Fiber Optic,No,No,Yes,Mailed Check,1,115.71,3317.16,1
CUST2122,0,66,One Year,Fiber Optic,No,Yes,No,Electronic Check,2,86.87,6131.39,0
CUST2123,0,42,One Year,Fiber Optic,Yes,No,No,Electronic Check,2,15.0,588.43,0
CUST2124,0,45,One Year,Fiber Optic,Yes,No,No,Mailed Check,2,91.59,,0
CUST2125,0,62,Month-to-Month,DSL,Yes,No,Yes,Mailed Check,1,121.15,7640.5,0
CUST2126,0,57,Month-to-Month,Fiber Optic,No,Yes,Yes,Electronic Check,4,57.42,3131.11,0
CUST2127,0,6,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,2,64.13,421.58,0
CUST2128,0,28,Month-to-Month,Fiber Optic,No,No,Yes,Bank Transfer,2,35.29,941.31,0
CUST2129,0,28,Month-to-Month,Fiber Optic,No,No,Yes,Electronic Check,2,72.8,2026.02,1
CUST2130,1,44,Two Year,Fiber Optic,No,No,Yes,Credit Card,0,96.73,4577.34,0
CUST2131,0,30,Two Year,DSL,No,No,Yes,Mailed Check,2,82.44,,0
CUST2132,0,62,One Year,Fiber Optic,Yes,No,No,Bank Transfer,0,143.55,9470.93,0
CUST2133,0,62,Two Year,DSL,No,No,No,Credit Card,1,65.83,4139.42,0
CUST2134,0,1,One Year,Fiber Optic,No,No,Yes,Bank Transfer,2,24.23,21.96,0
CUST2135,0,27,Month-to-Month,No Internet,No,No,No,Bank Transfer,0,69.27,,0
CUST2136,0,62,Month-to-Month,Fiber Optic,No,Yes,Yes,Bank Transfer,0,15.0,844.29,0
CUST2137,0,3,Month-to-Month,Fiber Optic,No,Yes,Yes,Credit Card,1,51.67,155.48,0
CUST2138,0,70,One Year,DSL,Yes,No,No,Credit Card,2,105.61,6725.92,0
CUST2139,0,27,Month-to-Month,DSL,No,No,Yes,Mailed Check,2,73.13,1805.18,0
CUST2140,0,9,One Year,Fiber Optic,No,No,No,Bank Transfer,2,69.49,673.84,0
CUST2141,0,62,Month-to-Month,DSL,No,No,Yes,Electronic Check,1,110.52,7216.54,0
CUST2142,0,37,One Year,Fiber Optic,No,No,Yes,Electronic Check,0,58.24,2024.27,0
CUST2143,0,51,Two Year,DSL,No,No,Yes,Electronic Check,0,96.55,5042.69,0
CUST2144,0,44,One Year,No Internet,No,No,No,Credit Card,3,68.23,3179.05,0
CUST2145,0,24,Two Year,Fiber Optic,No,No,No,Mailed Check,1,74.5,1927.32,0
CUST2146,0,59,Two Year,DSL,No,No,No,Credit Card,1,34.57,2026.7,0
CUST2147,0,32,Two Year,No Internet,No,No,No,Bank Transfer,1,52.95,1829.1,0
CUST2148,0,52,Two Year,DSL,No,No,Yes,Electronic Check,2,30.06,1565.57,0
CUST2149,0,62,Two Year,DSL,No,Yes,Yes,Credit Card,4,62.62,4028.6,0
CUST2150,0,58,One Year,Fiber Optic,No,No,No,Electronic Check,0,74.76,4751.5,0
CUST2151,0,52,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Credit Card,2,37.25,1834.71,0
CUST2152,1,12,Month-to-Month,Fiber Optic,No,No,No,Electronic Check,2,116.23,1302.29,1
CUST2153,0,39,One Year,DSL,Yes,Yes,Yes,Bank Transfer,2,71.95,2717.39,0
CUST2154,0,2,Month-to-Month,Fiber Optic,No,No,Yes,Electronic Check,2,66.44,123.96,0
CUST2155,1,3,Month-to-Month,DSL,Yes,No,Yes,Bank Transfer,2,84.24,241.81,1
CUST2156,0,56,Two Year,DSL,Yes,No,No,Bank Transfer,2,44.28,2600.19,0
CUST2157,1,59,Two Year,No Internet,Yes,No,No,Credit Card,4,69.09,4057.99,0
CUST2158,0,2,Two Year,Fiber Optic,Yes,No,Yes,Credit Card,1,47.08,91.81,0
CUST2159,0,2,Month-to-Month,DSL,Yes,No,Yes,Credit Card,1,103.97,202.48,1
CUST2160,0,54,Month-to-Month,Fiber Optic,No,No,Yes,Bank Transfer,3,38.53,1953.51,0
CUST2161,1,1,Month-to-Month,DSL,No,No,Yes,Mailed Check,3,66.58,65.88,1
CUST2162,1,19,Month-to-Month,No Internet,No,No,No,Mailed Check,3,73.23,1426.05,0
CUST2163,0,2,Month-to-Month,DSL,No,No,Yes,Bank Transfer,3,74.87,138.93,1
CUST2164,0,53,Month-to-Month,DSL,Yes,Yes,Yes,Bank Transfer,2,50.47,2927.86,0
CUST2165,0,44,Two Year,Fiber Optic,No,No,Yes,Credit Card,0,42.61,1853.57,0
CUST2166,0,32,One Year,Fiber Optic,Yes,No,Yes,Credit Card,0,50.83,1772.29,0
CUST2167,0,70,Month-to-Month,Fiber Optic,Yes,Yes,No,Credit Card,2,78.21,5074.67,0
CUST2168,0,32,Month-to-Month,DSL,No,No,Yes,Mailed Check,2,61.4,2069.81,0
CUST2169,0,68,Month-to-Month,DSL,Yes,No,Yes,Mailed Check,2,84.91,5909.73,0
CUST2170,1,55,Month-to-Month,Fiber Optic,No,No,No,Bank Transfer,0,76.93,4502.0,0
CUST2171,1,56,Two Year,DSL,No,Yes,Yes,Mailed Check,2,15.0,856.91,0
CUST2172,0,17,Month-to-Month,No Internet,No,No,No,Credit Card,2,71.19,1322.26,1
CUST2173,0,38,Month-to-Month,DSL,No,Yes,Yes,Credit Card,1,121.26,4724.86,0
CUST2174,1,24,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Credit Card,2,98.13,2489.18,0
CUST2175,0,69,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,1,75.55,5606.61,0
CUST2176,0,70,One Year,DSL,Yes,No,Yes,Credit Card,1,38.52,2812.12,0
CUST2177,0,11,One Year,Fiber Optic,No,No,Yes,Electronic Check,1,76.94,850.44,1
CUST2178,1,16,One Year,No Internet,Yes,Yes,Yes,Bank Transfer,1,83.49,1275.14,0
CUST2179,0,59,Month-to-Month,DSL,No,No,Yes,Bank Transfer,2,58.66,3706.32,1
CUST2180,0,70,One Year,No Internet,No,Yes,Yes,Mailed Check,1,72.92,,0
CUST2181,0,3,One Year,Fiber Optic,No,No,No,Credit Card,0,102.74,315.66,0
CUST2182,1,20,Two Year,DSL,No,No,No,Electronic Check,3,43.57,798.07,0
CUST2183,0,59,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,4,38.54,2272.66,0
CUST2184,0,36,Month-to-Month,DSL,No,Yes,Yes,Credit Card,0,82.32,3080.97,1
CUST2185,0,19,One Year,Fiber Optic,No,No,No,Mailed Check,2,76.44,1476.78,0
CUST2186,1,67,One Year,Fiber Optic,Yes,No,No,Electronic Check,1,90.72,6015.7,1
CUST2187,0,19,Month-to-Month,No Internet,No,Yes,Yes,Electronic Check,1,79.24,1422.28,0
CUST2188,0,20,Month-to-Month,No Internet,Yes,Yes,Yes,Bank Transfer,2,50.81,977.52,0
CUST2189,1,71,Month-to-Month,Fiber Optic,Yes,No,Yes,Credit Card,2,75.8,5597.74,1
CUST2190,0,52,Two Year,Fiber Optic,No,No,Yes,Electronic Check,0,36.45,1790.85,1
CUST2191,0,33,Month-to-Month,DSL,No,No,No,Bank Transfer,1,58.74,1985.61,0
CUST2192,1,40,Two Year,Fiber Optic,No,No,No,Electronic Check,1,77.57,3158.49,0
CUST2193,0,39,Month-to-Month,DSL,Yes,No,No,Credit Card,1,55.99,2389.05,0
CUST2194,0,1,Two Year,Fiber Optic,No,No,Yes,Bank Transfer,2,126.7,115.57,0
CUST2195,0,11,Two Year,Fiber Optic,Yes,Yes,Yes,Electronic Check,2,17.7,179.44,0
CUST2196,0,57,Month-to-Month,DSL,Yes,Yes,No,Mailed Check,2,51.31,2928.23,0
CUST2197,0,50,Two Year,DSL,Yes,No,Yes,Electronic Check,1,41.56,2089.27,0
CUST2198,0,23,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,3,47.49,991.77,0
CUST2199,1,31,Two Year,Fiber Optic,No,No,Yes,Mailed Check,4,48.93,1615.68,1
CUST2200,0,42,One Year,Fiber Optic,Yes,No,Yes,Electronic Check,2,31.84,1335.87,0
CUST2201,0,7,Month-to-Month,Fiber Optic,No,No,Yes,Electronic Check,2,83.82,568.74,1
CUST2202,0,16,One Year,Fiber Optic,Yes,No,Yes,Bank Transfer,0,51.32,791.37,0
CUST2203,0,60,Two Year,Fiber Optic,No,Yes,No,Credit Card,2,69.09,4445.04,0
CUST2204,0,2,Month-to-Month,DSL,No,No,No,Electronic Check,3,54.13,101.69,0
CUST2205,0,1,One Year,DSL,No,No,Yes,Electronic Check,1,47.73,44.49,1
CUST2206,0,48,One Year,Fiber Optic,No,Yes,No,Electronic Check,1,106.81,4832.78,0
CUST2207,0,12,Two Year,Fiber Optic,No,No,Yes,Credit Card,2,88.07,1083.27,1
CUST2208,0,69,Month-to-Month,DSL,No,No,Yes,Mailed Check,0,18.29,1340.49,0
CUST2209,0,37,Month-to-Month,Fiber Optic,No,Yes,No,Credit Card,2,15.65,559.48,0
CUST2210,0,32,Month-to-Month,DSL,No,Yes,Yes,Bank Transfer,1,91.07,2723.92,0
CUST2211,0,9,One Year,Fiber Optic,No,No,Yes,Bank Transfer,1,52.0,440.78,0
CUST2212,1,19,Month-to-Month,Fiber Optic,Yes,No,No,Credit Card,1,23.77,462.4,0
CUST2213,0,48,Two Year,Fiber Optic,No,No,No,Electronic Check,1,91.14,4152.52,0
CUST2214,0,3,Month-to-Month,No Internet,No,Yes,Yes,Electronic Check,0,69.23,223.36,1
CUST2215,0,20,One Year,DSL,Yes,Yes,Yes,Mailed Check,2,71.29,1312.85,0
CUST2216,0,24,Month-to-Month,No Internet,No,Yes,Yes,Credit Card,0,85.24,1854.43,0
CUST2217,0,54,Month-to-Month,Fiber Optic,No,Yes,Yes,Credit Card,0,32.25,1598.13,0
CUST2218,0,33,Month-to-Month,Fiber Optic,No,Yes,Yes,Electronic Check,2,24.21,854.16,0
CUST2219,0,24,Month-to-Month,Fiber Optic,No,No,Yes,Bank Transfer,4,104.52,2584.35,1
CUST2220,0,36,One Year,Fiber Optic,No,No,No,Bank Transfer,0,29.07,1142.33,0
CUST2221,0,38,Two Year,Fiber Optic,No,No,Yes,Mailed Check,1,34.44,1265.87,0
CUST2222,0,25,One Year,Fiber Optic,No,Yes,Yes,Mailed Check,2,39.44,929.34,1
CUST2223,1,18,Two Year,DSL,No,Yes,Yes,Bank Transfer,1,117.0,2132.1,0
CUST2224,0,66,Two Year,DSL,No,No,Yes,Credit Card,1,77.33,5142.39,0
CUST2225,0,54,One Year,Fiber Optic,No,No,No,Mailed Check,0,89.14,4901.19,0
CUST2226,0,35,Two Year,DSL,No,No,Yes,Electronic Check,1,69.9,2371.9,0
CUST2227,1,61,One Year,Fiber Optic,No,No,No,Credit Card,0,49.95,2745.85,0
CUST2228,0,41,Month-to-Month,DSL,No,No,No,Electronic Check,0,80.78,3003.99,0
CUST2229,0,33,One Year,Fiber Optic,Yes,No,No,Mailed Check,2,26.08,888.84,0
CUST2230,0,68,Month-to-Month,No Internet,Yes,No,Yes,Bank Transfer,0,37.62,2570.06,1
CUST2231,0,33,One Year,No Internet,No,No,No,Mailed Check,1,83.32,2926.09,0
CUST2232,0,14,One Year,Fiber Optic,No,Yes,Yes,Bank Transfer,3,31.07,417.62,0
CUST2233,1,21,Month-to-Month,Fiber Optic,Yes,No,Yes,Credit Card,4,60.27,1345.53,1
CUST2234,0,48,Month-to-Month,No Internet,Yes,Yes,Yes,Mailed Check,1,61.41,2903.75,0
CUST2235,0,20,Two Year,Fiber Optic,Yes,No,Yes,Mailed Check,1,51.78,952.07,0
CUST2236,0,8,One Year,DSL,No,No,Yes,Mailed Check,2,16.22,142.16,0
CUST2237,0,7,Month-to-Month,No Internet,Yes,No,Yes,Credit Card,0,49.28,345.78,1
CUST2238,0,67,One Year,Fiber Optic,No,No,Yes,Electronic Check,2,44.38,3050.46,0
CUST2239,0,17,One Year,Fiber Optic,No,No,No,Electronic Check,4,69.04,1213.77,0
CUST2240,0,33,Month-to-Month,DSL,No,No,Yes,Bank Transfer,2,67.76,2174.55,0
CUST2241,0,48,Two Year,DSL,No,Yes,Yes,Mailed Check,1,74.45,3750.51,0
CUST2242,0,59,One Year,No Internet,Yes,Yes,No,Electronic Check,0,48.1,3048.06,0
CUST2243,1,22,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,6,78.07,1678.79,1
CUST2244,0,30,Two Year,DSL,No,No,No,Mailed Check,1,26.1,807.59,0
CUST2245,0,38,Two Year,DSL,No,No,No,Bank Transfer,1,19.45,777.11,0
CUST2246,0,51,Month-to-Month,Fiber Optic,No,No,Yes,Electronic Check,4,15.0,717.59,0
CUST2247,1,54,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,1,52.52,2741.13,1
CUST2248,0,8,Month-to-Month,DSL,Yes,Yes,No,Credit Card,1,46.17,340.46,1
CUST2249,0,27,One Year,No Internet,No,No,No,Bank Transfer,0,84.73,2334.47,0
CUST2250,0,27,One Year,DSL,Yes,Yes,No,Electronic Check,2,48.78,1396.33,0
CUST2251,0,21,One Year,Fiber Optic,No,No,Yes,Mailed Check,1,71.83,1541.87,0
CUST2252,1,30,Two Year,Fiber Optic,Yes,Yes,No,Credit Card,3,85.33,2395.96,0
CUST2253,1,28,One Year,DSL,Yes,No,Yes,Bank Transfer,3,47.84,1351.94,0
CUST2254,1,64,Month-to-Month,No Internet,No,Yes,Yes,Credit Card,2,72.45,4947.4,1
CUST2255,0,69,Month-to-Month,Fiber Optic,Yes,No,Yes,Credit Card,0,90.05,5968.3,0
CUST2256,0,61,Month-to-Month,Fiber Optic,No,No,Yes,Electronic Check,1,34.05,2215.24,0
CUST2257,0,48,Month-to-Month,DSL,Yes,No,No,Electronic Check,0,65.62,3329.06,1
CUST2258,0,19,One Year,DSL,Yes,No,No,Mailed Check,6,47.95,823.91,0
CUST2259,0,4,Two Year,DSL,No,No,No,Credit Card,3,35.64,135.13,1
CUST2260,0,35,Month-to-Month,Fiber Optic,No,No,Yes,Bank Transfer,2,26.59,938.64,1
CUST2261,1,64,One Year,Fiber Optic,No,No,Yes,Credit Card,4,35.23,2352.85,1
CUST2262,1,49,One Year,No Internet,Yes,Yes,No,Bank Transfer,0,66.5,3506.49,0
CUST2263,0,17,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,0,24.73,432.27,0
CUST2264,0,44,Month-to-Month,No Internet,No,Yes,No,Bank Transfer,2,51.23,2200.18,1
CUST2265,0,30,Month-to-Month,Fiber Optic,No,Yes,No,Credit Card,2,85.33,2398.44,0
CUST2266,0,46,Month-to-Month,DSL,No,No,No,Credit Card,2,76.23,3688.95,0
CUST2267,0,6,Two Year,DSL,No,No,Yes,Mailed Check,0,51.74,292.23,0
CUST2268,0,37,Month-to-Month,Fiber Optic,No,No,No,Electronic Check,2,107.24,4122.97,0
CUST2269,1,24,Month-to-Month,DSL,No,No,No,Electronic Check,3,112.33,2524.03,0
CUST2270,0,46,Month-to-Month,DSL,No,Yes,Yes,Bank Transfer,1,65.65,2772.9,0
CUST2271,0,53,Two Year,Fiber Optic,No,Yes,No,Credit Card,5,15.0,755.42,0
CUST2272,0,60,Month-to-Month,No Internet,Yes,No,Yes,Credit Card,0,87.16,,0
CUST2273,0,63,Month-to-Month,DSL,No,No,Yes,Electronic Check,2,15.0,972.82,0
