StudentID,Gender,ParentalEducation,LunchType,TestPrepCourse,StudyHoursWeekly,AttendanceRate,ExtracurricularActivity,SleepHours,MathScore,ReadingScore,WritingScore,AverageScore
STU3037,Male,High School,Standard,Not Completed,4.1,77.4,Yes,6.5,78.0,78.8,84.3,80.4
STU3038,Male,High School,Free/Reduced,Completed,24.0,68.5,No,8.6,100.0,100.0,100.0,100.0
STU3039,Male,Associate's Degree,Standard,Not Completed,15.4,79.2,No,7.5,92.3,93.8,89.4,91.8
STU3040,Male,High School,Standard,Completed,14.7,65.2,No,6.4,89.8,100.0,89.3,93.0
STU3041,Male,High School,Standard,Not Completed,5.5,85.9,No,6.8,89.2,79.4,69.1,79.2
STU3042,Female,High School,Standard,Completed,13.0,84.9,No,6.7,100.0,100.0,93.4,97.8
STU3043,Female,High School,Standard,Not Completed,8.7,96.3,No,7.3,71.4,68.6,68.8,69.6
STU3044,Female,High School,Free/Reduced,Not Completed,7.6,89.7,Yes,5.3,76.8,74.0,76.9,75.9
STU3045,Female,Bachelor's Degree,Standard,Not Completed,7.6,72.0,Yes,6.2,84.9,83.8,80.8,83.2
STU3046,Female,Associate's Degree,Standard,Not Completed,10.7,65.5,No,8.2,85.8,89.6,69.5,81.6
STU3047,Male,Bachelor's Degree,Standard,Completed,17.7,67.4,Yes,6.9,100.0,100.0,100.0,100.0
STU3048,Female,Bachelor's Degree,Free/Reduced,Completed,25.1,77.3,No,6.0,91.0,95.0,99.5,95.2
STU3049,Female,Associate's Degree,Standard,Completed,6.2,90.6,No,6.0,71.2,79.3,73.1,74.5
STU3050,Male,High School,Standard,Completed,9.0,97.3,No,7.9,85.7,90.9,78.5,85.0
STU3051,Female,Associate's Degree,Free/Reduced,Not Completed,7.5,79.5,Yes,6.4,88.5,85.1,87.9,87.2
STU3052,Male,Associate's Degree,Free/Reduced,Completed,10.3,67.1,No,7.6,74.5,70.7,72.1,72.4
STU3053,Female,Bachelor's Degree,Free/Reduced,Completed,7.0,87.0,Yes,6.2,89.2,91.7,86.9,89.3
STU3054,Male,Associate's Degree,Free/Reduced,Not Completed,22.8,91.1,No,5.6,93.3,80.4,93.3,89.0
STU3055,Female,High School,Standard,Not Completed,5.1,95.1,Yes,7.3,73.1,75.5,66.2,71.6
STU3056,Female,High School,Free/Reduced,Not Completed,6.2,77.9,No,6.9,76.7,79.2,73.7,76.5
STU3057,Male,Associate's Degree,Standard,Completed,5.6,48.4,No,7.8,77.3,74.2,78.3,76.6
STU3058,Male,Associate's Degree,Free/Reduced,Completed,7.3,41.1,Yes,8.1,74.3,70.4,72.0,72.2
STU3059,Male,Associate's Degree,Free/Reduced,Not Completed,3.2,66.7,No,6.6,82.4,70.4,80.8,77.9
STU3060,Male,Associate's Degree,Free/Reduced,Completed,5.7,80.8,No,7.4,80.6,77.9,82.0,80.2
STU3061,Male,Master's Degree,Free/Reduced,Completed,10.3,94.1,Yes,6.5,90.7,90.1,84.3,88.4
STU3062,Male,Associate's Degree,Standard,Not Completed,10.2,76.2,No,7.8,84.8,80.1,80.1,81.7
STU3063,Male,High School,Standard,Not Completed,9.3,93.0,Yes,7.3,94.1,100.0,86.2,93.4
STU3064,Male,High School,Free/Reduced,Not Completed,16.9,88.3,No,6.3,82.5,97.6,86.8,89.0
STU3065,Female,High School,Free/Reduced,Completed,10.5,74.0,No,6.2,69.6,84.0,77.7,77.1
STU3066,Female,High School,Standard,Completed,16.6,88.7,Yes,7.3,90.2,96.0,95.7,94.0
STU3067,Male,High School,Standard,Not Completed,25.1,83.7,Yes,8.4,90.4,100.0,100.0,96.8
STU3068,Female,High School,Standard,Completed,13.2,92.4,No,8.1,90.8,100.0,100.0,96.9
STU3069,Female,High School,Free/Reduced,Not Completed,3.2,82.2,Yes,5.9,70.1,68.6,64.9,67.9
STU3070,Female,High School,Free/Reduced,Not Completed,9.5,86.9,Yes,6.0,93.0,95.6,86.7,91.8
STU3071,Female,Bachelor's Degree,Standard,Not Completed,8.7,56.5,No,6.2,73.1,75.4,73.5,74.0
STU3072,Male,High School,Standard,Completed,18.6,92.3,Yes,6.3,80.7,81.6,82.0,81.4
STU3073,Female,Associate's Degree,Free/Reduced,Completed,7.5,83.4,Yes,4.8,85.1,82.3,75.7,81.0
STU3074,Male,Associate's Degree,Free/Reduced,Not Completed,4.7,88.3,No,7.9,74.8,72.7,72.6,73.4
STU3075,Female,Master's Degree,Standard,Not Completed,5.9,68.9,Yes,6.5,69.3,66.0,70.1,68.5
STU3076,Female,High School,Standard,Not Completed,3.3,92.6,Yes,7.6,72.4,70.3,64.0,68.9
STU3077,Female,Associate's Degree,Standard,Completed,0.5,63.1,Yes,6.6,66.4,66.1,67.8,66.8
STU3078,Male,Master's Degree,Standard,Completed,22.9,77.4,No,7.0,100.0,100.0,100.0,100.0
STU3079,Female,Bachelor's Degree,Standard,Not Completed,8.1,93.5,No,6.2,65.3,67.5,76.7,69.8
STU3080,Male,Bachelor's Degree,Free/Reduced,Not Completed,3.5,91.6,No,7.0,75.3,85.7,66.9,76.0
STU3081,Female,High School,Free/Reduced,Not Completed,19.5,67.6,Yes,6.0,100.0,100.0,100.0,100.0
STU3082,Male,High School,Standard,Completed,21.4,76.2,Yes,7.0,89.4,96.4,97.3,94.4
STU3083,Female,Bachelor's Degree,Free/Reduced,Not Completed,8.9,86.1,Yes,8.7,81.8,75.1,80.6,79.2
STU3084,Male,Master's Degree,Standard,Not Completed,3.1,96.2,Yes,7.6,91.0,83.0,86.8,86.9
STU3085,Male,Associate's Degree,Standard,Not Completed,6.0,92.4,No,7.3,87.9,87.0,83.9,86.3
STU3086,Female,Associate's Degree,Standard,Not Completed,7.0,87.8,Yes,5.4,98.3,93.6,84.4,92.1
STU3087,Male,High School,Standard,Completed,8.3,83.6,Yes,7.7,84.1,88.5,77.0,83.2
STU3088,Female,Bachelor's Degree,Free/Reduced,Not Completed,3.8,59.6,Yes,7.8,75.2,84.5,78.4,79.4
STU3089,Female,High School,Free/Reduced,Completed,13.8,56.7,No,7.3,80.2,98.9,91.3,90.1
STU3090,Female,High School,Standard,Not Completed,1.5,75.1,No,7.3,66.5,71.3,66.8,68.2
STU3091,Female,Associate's Degree,Standard,Not Completed,15.1,75.3,No,6.8,89.8,86.5,90.2,88.8
STU3092,Female,Associate's Degree,Free/Reduced,Completed,16.9,74.3,No,7.8,85.2,94.9,86.2,88.8
STU3093,Female,High School,Standard,Not Completed,6.4,65.5,No,8.7,61.0,53.0,58.7,57.6
STU3094,Female,High School,Standard,Completed,7.7,49.7,Yes,7.4,74.4,79.5,79.0,77.6
STU3095,Female,Associate's Degree,Free/Reduced,Not Completed,18.1,66.6,Yes,5.8,97.1,97.2,95.3,96.5
STU3096,Female,High School,Standard,Not Completed,11.7,99.3,No,5.9,92.7,98.4,87.7,92.9
STU3097,Female,Associate's Degree,Standard,Completed,6.5,87.8,No,7.9,77.3,78.3,77.7,77.8
STU3098,Female,High School,Standard,Completed,7.0,57.1,No,5.8,74.5,78.1,78.9,77.2
STU3099,Male,Associate's Degree,Free/Reduced,Not Completed,10.8,95.3,No,7.2,92.0,86.1,79.3,85.8
STU3100,Male,Associate's Degree,Standard,Completed,21.7,66.4,No,6.6,100.0,100.0,100.0,100.0
STU3101,Female,High School,Standard,Not Completed,7.1,62.8,No,5.7,72.9,68.9,73.7,71.8
STU3102,Female,High School,Free/Reduced,Not Completed,6.4,44.9,No,8.0,72.9,78.1,62.1,71.0
STU3103,Female,High School,Standard,Not Completed,8.2,94.1,No,7.8,79.6,87.8,87.6,85.0
STU3104,Female,High School,Free/Reduced,Completed,8.3,90.3,Yes,5.4,69.0,74.6,60.6,68.1
STU3105,Female,Master's Degree,Standard,Not Completed,9.7,83.8,No,7.6,85.5,81.9,78.2,81.9
STU3106,Female,High School,Free/Reduced,Not Completed,7.7,93.2,No,7.4,74.1,81.7,81.2,79.0
STU3107,Female,Bachelor's Degree,Standard,Completed,15.6,73.5,Yes,8.0,95.1,94.5,89.7,93.1
STU3108,Female,High School,Standard,Not Completed,4.4,75.4,No,7.2,59.5,60.5,58.2,59.4
STU3109,Male,Bachelor's Degree,Standard,Not Completed,10.3,86.0,No,8.7,84.2,81.7,79.8,81.9
STU3110,Female,Bachelor's Degree,Standard,Not Completed,10.6,86.7,Yes,6.8,94.5,100.0,97.5,97.3
STU3111,Male,Associate's Degree,Free/Reduced,Completed,4.7,75.6,No,6.7,46.4,62.1,77.7,62.1
STU3112,Female,Associate's Degree,Free/Reduced,Not Completed,10.3,94.4,Yes,5.8,64.8,82.3,69.0,72.0
STU3113,Female,Associate's Degree,Standard,Completed,10.7,72.6,No,5.9,86.4,86.5,86.9,86.6
STU3114,Male,High School,Standard,Completed,0.9,96.1,No,5.8,82.3,85.4,77.0,81.6
STU3115,Female,Master's Degree,Free/Reduced,Not Completed,4.1,91.4,Yes,7.3,88.6,90.7,86.1,88.5
STU3116,Male,Bachelor's Degree,Free/Reduced,Not Completed,18.9,92.2,Yes,6.7,100.0,100.0,100.0,100.0
STU3117,Female,Master's Degree,Standard,Completed,5.5,53.9,No,7.4,88.4,88.3,88.8,88.5
STU3118,Female,High School,Standard,Completed,3.5,68.9,Yes,5.5,65.6,73.7,61.1,66.8
STU3119,Male,Bachelor's Degree,Standard,Completed,2.0,67.8,Yes,6.0,82.8,88.4,79.1,83.4
STU3120,Female,Master's Degree,Free/Reduced,Completed,3.9,74.9,No,6.0,82.3,72.2,79.0,77.8
STU3121,Male,High School,Standard,Completed,7.5,84.3,Yes,9.6,73.7,71.3,74.6,73.2
STU3122,Female,High School,Standard,Completed,3.3,67.3,Yes,6.8,64.7,70.6,70.8,68.7
STU3123,Male,Bachelor's Degree,Standard,Not Completed,11.8,65.4,No,6.9,96.4,100.0,94.7,97.0
STU3124,Male,Associate's Degree,Free/Reduced,Not Completed,4.6,74.6,No,6.9,69.7,57.3,65.0,64.0
STU3125,Female,Bachelor's Degree,Standard,Not Completed,9.7,68.7,No,8.9,86.4,85.7,88.4,86.8
STU3126,Female,High School,Standard,Not Completed,17.4,83.1,No,5.1,83.8,81.1,84.3,83.1
STU3127,Male,Bachelor's Degree,Standard,Completed,16.8,43.1,Yes,6.9,95.1,100.0,100.0,98.4
STU3128,Female,High School,Standard,Not Completed,9.6,89.5,Yes,5.1,65.6,73.4,65.3,68.1
STU3129,Female,High School,Standard,Not Completed,3.7,85.7,Yes,4.1,65.5,59.8,67.6,64.3
STU3130,Female,High School,Standard,Not Completed,7.8,80.5,No,6.1,78.0,92.9,78.3,83.1
STU3131,Male,Bachelor's Degree,Standard,Not Completed,9.8,86.0,No,7.5,91.0,82.3,75.3,82.9
STU3132,Male,Bachelor's Degree,Standard,Not Completed,27.7,89.6,No,6.0,90.1,98.7,82.1,90.3
STU3133,Male,Associate's Degree,Standard,Not Completed,1.9,87.0,No,7.5,61.0,67.6,59.7,62.8
STU3134,Male,Associate's Degree,Free/Reduced,Completed,7.8,92.0,No,7.1,72.3,71.2,77.6,73.7
STU3135,Male,Bachelor's Degree,Free/Reduced,Not Completed,11.6,78.5,Yes,6.8,67.7,74.5,70.2,70.8
STU3136,Male,Associate's Degree,Standard,Not Completed,8.6,78.9,Yes,8.5,85.0,83.1,88.1,85.4
STU3137,Male,Bachelor's Degree,Free/Reduced,Not Completed,9.2,69.3,Yes,6.3,82.8,76.3,80.6,79.9
STU3138,Male,Associate's Degree,Standard,Not Completed,4.8,39.2,Yes,7.5,69.8,71.2,72.4,71.1
STU3139,Male,Associate's Degree,Standard,Completed,13.7,93.3,No,4.8,100.0,100.0,100.0,100.0
STU3140,Female,Associate's Degree,Standard,Completed,8.3,69.4,Yes,7.1,90.2,94.7,93.5,92.8
STU3141,Male,High School,Standard,Not Completed,9.2,91.3,No,6.7,79.8,97.7,89.8,89.1
STU3142,Female,Bachelor's Degree,Free/Reduced,Not Completed,14.5,76.0,No,5.6,69.8,75.8,69.2,71.6
STU3143,Female,Associate's Degree,Free/Reduced,Not Completed,6.6,92.6,Yes,7.5,77.0,75.2,72.3,74.8
STU3144,Female,High School,Free/Reduced,Completed,16.3,71.6,No,6.1,89.5,89.1,80.2,86.3
STU3145,Male,Bachelor's Degree,Standard,Completed,3.3,88.8,No,9.1,81.3,80.3,82.0,81.2
STU3146,Male,Associate's Degree,Standard,Not Completed,9.5,81.1,Yes,4.1,95.0,100.0,86.3,93.8
STU3147,Male,Associate's Degree,Standard,Not Completed,4.6,73.9,No,7.3,78.3,71.0,70.9,73.4
STU3148,Male,Master's Degree,Standard,Not Completed,3.8,74.2,No,7.1,73.5,71.2,62.9,69.2
STU3149,Female,Associate's Degree,Standard,Not Completed,21.6,63.6,No,6.7,91.7,91.0,84.5,89.1
STU3150,Male,High School,Standard,Not Completed,3.4,80.3,No,6.4,91.2,96.8,98.2,95.4
STU3151,Male,Master's Degree,Standard,Completed,8.4,87.3,No,7.1,91.4,90.0,90.4,90.6
STU3152,Male,Associate's Degree,Standard,Not Completed,3.2,97.6,No,8.3,68.9,56.4,55.0,60.1
STU3153,Male,High School,Free/Reduced,Not Completed,15.7,71.9,Yes,5.0,76.3,75.8,69.1,73.7
STU3154,Male,High School,Free/Reduced,Not Completed,6.2,64.2,Yes,6.0,48.9,61.7,44.9,51.8
STU3155,Female,Bachelor's Degree,Free/Reduced,Not Completed,14.5,56.6,Yes,5.7,77.4,87.3,80.0,81.6
STU3156,Male,Associate's Degree,Standard,Not Completed,11.3,61.2,Yes,5.7,60.0,59.0,53.8,57.6
STU3157,Female,Associate's Degree,Standard,Completed,25.4,80.1,No,7.4,99.9,99.4,97.2,98.8
STU3158,Male,Bachelor's Degree,Standard,Not Completed,2.7,75.4,No,7.7,79.6,68.7,76.1,74.8
STU3159,Female,Bachelor's Degree,Free/Reduced,Completed,4.1,83.5,Yes,8.3,82.5,89.6,88.1,86.7
STU3160,Male,High School,Standard,Not Completed,14.0,61.4,Yes,7.7,84.5,88.7,81.7,85.0
STU3161,Male,High School,Standard,Completed,9.8,84.5,Yes,7.8,81.0,81.7,70.5,77.7
STU3162,Female,High School,Free/Reduced,Completed,6.9,83.8,No,5.3,78.0,76.3,68.3,74.2
STU3163,Female,Bachelor's Degree,Standard,Not Completed,22.8,69.4,No,8.8,98.4,100.0,89.5,96.0
STU3164,Female,High School,Standard,Completed,8.0,71.6,No,6.7,89.5,100.0,83.2,90.9
STU3165,Male,Associate's Degree,Standard,Not Completed,4.8,45.7,No,8.2,74.6,82.3,77.7,78.2
STU3166,Female,Bachelor's Degree,Standard,Not Completed,14.6,92.4,Yes,5.3,88.5,79.2,93.6,87.1
STU3167,Male,Bachelor's Degree,Standard,Completed,8.2,72.4,Yes,6.7,96.7,86.4,87.5,90.2
STU3168,Male,High School,Standard,Not Completed,8.6,84.7,Yes,8.1,78.4,89.0,77.3,81.6
STU3169,Female,Bachelor's Degree,Standard,Not Completed,11.9,76.9,Yes,7.0,100.0,100.0,98.0,99.3
STU3170,Female,High School,Standard,Not Completed,12.2,83.8,No,6.1,80.8,98.5,85.9,88.4
STU3171,Male,Bachelor's Degree,Free/Reduced,Completed,4.1,90.4,No,8.6,84.1,80.6,85.9,83.5
STU3172,Male,High School,Standard,Completed,6.7,79.9,No,5.6,83.5,88.5,83.4,85.1
STU3173,Female,Associate's Degree,Standard,Completed,3.0,85.2,No,7.0,81.7,86.9,75.4,81.3
STU3174,Female,Bachelor's Degree,Standard,Completed,9.8,91.7,Yes,7.8,76.6,84.7,84.4,81.9
STU3175,Female,High School,Free/Reduced,Completed,21.4,81.8,Yes,9.5,100.0,100.0,98.3,99.4
STU3176,Male,High School,Standard,Not Completed,4.2,71.1,No,6.4,72.3,68.7,72.7,71.2
STU3177,Male,Bachelor's Degree,Standard,Not Completed,2.6,64.9,No,6.7,79.3,80.1,78.8,79.4
STU3178,Male,Bachelor's Degree,Free/Reduced,Not Completed,5.3,78.5,Yes,6.5,73.6,71.2,72.9,72.6
STU3179,Male,Associate's Degree,Free/Reduced,Not Completed,6.9,64.1,No,7.3,78.4,78.1,78.0,78.2
STU3180,Male,Bachelor's Degree,Standard,Completed,12.2,87.4,No,7.7,87.0,98.3,89.3,91.5
STU3181,Male,Associate's Degree,Free/Reduced,Completed,6.5,44.2,Yes,8.3,82.9,82.1,75.6,80.2
STU3182,Female,High School,Standard,Completed,10.0,68.9,No,7.9,72.4,71.1,71.3,71.6
STU3183,Male,High School,Standard,Completed,5.8,84.7,Yes,6.4,87.0,96.9,84.8,89.6
STU3184,Male,High School,Standard,Not Completed,7.1,82.1,No,8.0,88.6,81.4,86.4,85.5
STU3185,Male,Master's Degree,Standard,Not Completed,4.6,84.7,No,7.1,87.6,95.1,83.8,88.8
STU3186,Female,Associate's Degree,Free/Reduced,Completed,3.7,54.9,No,7.9,73.7,70.2,66.5,70.1
STU3187,Male,Associate's Degree,Standard,Completed,12.5,86.5,Yes,8.0,92.3,93.8,91.5,92.5
STU3188,Male,Associate's Degree,Standard,Not Completed,6.1,66.4,Yes,9.0,71.0,79.7,76.5,75.7
STU3189,Female,Master's Degree,Free/Reduced,Not Completed,10.4,85.9,Yes,6.6,87.6,83.0,92.1,87.6
STU3190,Male,High School,Free/Reduced,Completed,4.6,74.4,Yes,6.3,95.3,91.4,85.6,90.8
STU3191,Male,Associate's Degree,Standard,Not Completed,8.0,69.0,No,7.5,77.8,87.4,75.1,80.1
STU3192,Male,Associate's Degree,Standard,Not Completed,1.5,80.6,No,8.4,57.1,51.0,68.8,59.0
STU3193,Male,Associate's Degree,Standard,Completed,6.4,88.0,Yes,7.1,72.2,77.5,77.7,75.8
STU3194,Male,High School,Free/Reduced,Completed,4.9,75.6,Yes,8.5,59.5,63.8,63.5,62.3
STU3195,Female,Bachelor's Degree,Free/Reduced,Not Completed,15.4,59.6,Yes,7.8,77.4,91.1,72.4,80.3
STU3196,Female,Master's Degree,Free/Reduced,Not Completed,3.3,81.2,No,6.8,90.6,83.5,81.6,85.2
STU3197,Female,Associate's Degree,Standard,Not Completed,7.3,77.9,Yes,7.7,68.6,65.1,63.5,65.7
STU3198,Male,Bachelor's Degree,Standard,Completed,9.8,77.1,Yes,6.5,92.3,100.0,100.0,97.4
STU3199,Male,Master's Degree,Standard,Completed,14.2,99.1,No,7.3,100.0,100.0,95.1,98.4
STU3200,Male,Bachelor's Degree,Standard,Not Completed,13.1,84.7,Yes,5.7,87.4,90.6,97.6,91.9
STU3201,Female,High School,Standard,Not Completed,7.7,86.5,No,6.9,83.5,80.3,79.1,81.0
STU3202,Male,Associate's Degree,Free/Reduced,Completed,8.4,42.7,No,8.2,86.5,73.0,74.1,77.9
STU3203,Male,Associate's Degree,Standard,Not Completed,15.4,92.1,Yes,7.9,88.5,89.1,91.5,89.7
STU3204,Female,Associate's Degree,Standard,Not Completed,7.6,71.0,No,7.7,48.7,62.0,61.0,57.2
STU3205,Male,Bachelor's Degree,Free/Reduced,Not Completed,8.9,87.7,No,7.3,66.2,77.1,68.7,70.7
STU3206,Female,Master's Degree,Standard,Not Completed,15.7,73.2,No,7.2,83.9,90.7,86.2,86.9
STU3207,Female,Master's Degree,Free/Reduced,Not Completed,27.4,56.2,Yes,5.5,100.0,100.0,100.0,100.0
STU3208,Female,Associate's Degree,Standard,Not Completed,9.4,75.7,Yes,6.8,88.3,77.4,79.3,81.7
STU3209,Male,High School,Standard,Not Completed,10.9,69.5,No,7.2,77.9,76.9,83.8,79.5
STU3210,Male,Master's Degree,Standard,Completed,12.9,74.5,No,5.7,100.0,100.0,100.0,100.0
STU3211,Male,Bachelor's Degree,Standard,Not Completed,15.6,82.8,Yes,4.9,76.1,84.4,74.5,78.3
STU3212,Male,High School,Free/Reduced,Completed,14.4,92.5,Yes,8.4,71.4,65.3,70.0,68.9
STU3213,Male,Master's Degree,Standard,Not Completed,5.5,68.3,Yes,7.1,79.1,89.5,73.0,80.5
STU3214,Male,Bachelor's Degree,Standard,Completed,9.7,91.3,Yes,7.3,100.0,99.0,100.0,99.7
STU3215,Male,Associate's Degree,Standard,Completed,14.4,96.9,No,7.7,100.0,94.3,97.6,97.3
STU3216,Female,Associate's Degree,Standard,Completed,17.4,57.7,Yes,5.8,96.5,89.6,82.6,89.6
STU3217,Male,Associate's Degree,Free/Reduced,Completed,7.3,67.1,Yes,6.5,80.8,80.9,88.9,83.5
STU3218,Female,High School,Standard,Not Completed,9.6,86.9,No,8.8,98.5,99.2,93.2,97.0
STU3219,Male,High School,Free/Reduced,Not Completed,10.3,82.2,Yes,6.4,69.8,75.1,72.0,72.3
STU3220,Male,Bachelor's Degree,Free/Reduced,Not Completed,8.2,89.5,No,6.7,75.0,85.9,84.0,81.6
STU3221,Male,High School,Standard,Completed,9.5,71.2,No,6.2,88.5,90.4,96.2,91.7
STU3222,Female,High School,Free/Reduced,Completed,1.4,88.0,Yes,6.1,70.5,77.8,66.0,71.4
STU3223,Female,Associate's Degree,Standard,Completed,36.7,89.2,No,8.3,100.0,100.0,100.0,100.0
STU3224,Female,Associate's Degree,Standard,Completed,7.1,71.6,No,4.0,71.3,83.0,83.2,79.2
STU3225,Female,Master's Degree,Standard,Not Completed,7.5,93.0,Yes,6.5,85.2,84.4,86.3,85.3
STU3226,Male,High School,Free/Reduced,Completed,2.4,71.2,Yes,7.3,75.6,85.9,73.7,78.4
STU3227,Female,High School,Free/Reduced,Completed,2.1,94.3,No,9.0,80.2,84.3,75.0,79.8
STU3228,Male,Bachelor's Degree,Standard,Completed,10.7,87.7,No,5.6,100.0,100.0,100.0,100.0
STU3229,Male,Associate's Degree,Free/Reduced,Completed,14.5,95.8,No,5.4,84.1,78.0,79.2,80.4
STU3230,Female,High School,Standard,Not Completed,13.0,88.5,Yes,6.0,100.0,100.0,90.0,96.7
STU3231,Female,Associate's Degree,Standard,Not Completed,4.6,65.5,No,7.8,69.1,61.9,72.6,67.9
STU3232,Female,High School,Standard,Completed,12.5,98.2,Yes,7.2,95.1,91.5,94.4,93.7
STU3233,Female,High School,Free/Reduced,Completed,7.4,87.1,No,5.3,92.1,92.1,84.3,89.5
STU3234,Female,Associate's Degree,Standard,Completed,6.3,93.7,No,7.1,97.0,98.3,90.7,95.3
STU3235,Female,Associate's Degree,Standard,Completed,3.0,58.1,No,8.9,88.5,82.7,83.9,85.0
STU3236,Female,Master's Degree,Standard,Completed,5.0,62.2,No,7.3,86.7,99.4,100.0,95.4
STU3237,Female,Associate's Degree,Standard,Not Completed,10.8,87.3,No,7.2,81.0,80.9,85.7,82.5
STU3238,Male,Associate's Degree,Standard,Not Completed,9.7,51.1,No,7.3,86.3,88.7,96.2,90.4
STU3239,Female,Associate's Degree,Standard,Not Completed,8.9,87.3,Yes,7.5,83.6,80.3,66.9,76.9
STU3240,Female,High School,Free/Reduced,Not Completed,1.4,71.7,No,5.5,52.5,60.7,59.7,57.6
STU3241,Male,Bachelor's Degree,Standard,Not Completed,8.9,89.8,No,6.7,83.2,89.2,78.5,83.6
STU3242,Female,High School,Standard,Not Completed,5.5,83.2,Yes,6.8,73.6,77.6,68.1,73.1
STU3243,Male,Master's Degree,Standard,Not Completed,9.7,86.1,No,6.4,85.1,85.0,94.9,88.3
STU3244,Male,High School,Free/Reduced,Not Completed,15.8,58.2,Yes,7.8,87.8,88.6,80.4,85.6
STU3245,Female,Associate's Degree,Free/Reduced,Completed,6.0,96.9,No,6.2,87.3,84.3,96.1,89.2
STU3246,Male,High School,Standard,Not Completed,8.5,97.3,No,6.6,79.1,74.7,79.3,77.7
